COUSUBFP,NAMELSAD,Place Name,Label
80996,Wheatfield township,Clinton County,None
29054,Germantown township,Clinton County,None
44667,Looking Glass township,Clinton County,None
11475,Carrollton township,Greene County,None
58096,Patterson township,Greene County,None
83401,Woodville township,Greene County,None
90954,Dixon precinct,Edwards County,None
93153,Shelby No. 1 precinct,Edwards County,None
35060,Hillsboro township,Montgomery County,None
60183,Pitman township,Montgomery County,None
70928,South Litchfield township,Montgomery County,None
78669,Walshville township,Montgomery County,None
5326,Benton township,Lake County,None
22853,Ela township,Lake County,None
38492,Johnson township,Christian County,None
50686,Mosquito township,Christian County,None
57485,Pana township,Christian County,None
61730,Prairieton township,Christian County,None
63797,Ricks township,Christian County,None
90270,Atterberry No. 10 precinct,Menard County,None
2765,Atlanta township,Logan County,None
8485,Broadwell township,Logan County,None
2076,Arispie township,Bureau County,None
5430,Berlin township,Bureau County,None
9668,Bureau township,Bureau County,None
14598,Clarion township,Bureau County,None
82738,Witt township,Montgomery County,None
84129,Zanesville township,Montgomery County,None
7107,Bois D'Arc township,Montgomery County,None
37751,Irving township,Montgomery County,None
66092,Rountree township,Montgomery County,None
91116,Eddyville No. 6 precinct,Pope County,None
4481,Beaver Creek township,Hamilton County,None
91012,Du Quoin No. 3 precinct,Perry County,None
91013,Du Quoin No. 4 precinct,Perry County,None
91014,Du Quoin No. 5 precinct,Perry County,None
91015,Du Quoin No. 6 precinct,Perry County,None
20799,Drummer township,Ford County,None
13126,Chester township,Logan County,None
16496,Corwin township,Logan County,None
24049,Eminence township,Logan County,None
40624,Laenna township,Logan County,None
65598,Rosamond township,Christian County,None
70798,South Fork township,Christian County,None
74587,Taylorville township,Christian County,None
39948,King township,Christian County,None
92433,Petersburg East No. 13 precinct,Menard County,None
92436,Petersburg North No. 14 precinct,Menard County,None
11878,Cazenovia township,Woodford County,None
16028,Concord township,Bureau County,None
20539,Dover township,Bureau County,None
31602,Greenville township,Bureau County,None
92439,Petersburg South No. 15 precinct,Menard County,None
93024,Rock Creek No. 12 precinct,Menard County,None
1127,Alton township,Madison County,In the Pipeline
22710,Edwardsville township,Madison County,In the Pipeline
30939,Granite City township,Madison County,None
38245,Jarvis township,Madison County,In the Pipeline
91386,Golconda No. 1 precinct,Pope County,None
91422,Golconda No. 3 precinct,Pope County,None
93654,Webster No. 5 precinct,Pope County,None
31355,Greene township,Woodford County,None
43835,Linn township,Woodford County,None
48619,Metamora township,Woodford County,None
49581,Minonk township,Woodford County,None
50231,Montgomery township,Woodford County,None
55821,Olio township,Woodford County,None
92470,Pinckneyville No. 3 precinct,Perry County,None
91016,Du Quoin No. 7 precinct,Perry County,None
45837,McLeansboro township,Hamilton County,None
70655,South Crouch township,Hamilton County,None
91018,Du Quoin No. 9 precinct,Perry County,None
91019,Du Quoin No. 10 precinct,Perry County,None
91020,Du Quoin No. 11 precinct,Perry County,None
1621,Appanoose township,Hancock County,None
90039,Albion No. 1 precinct,Edwards County,None
90041,Albion No. 2 precinct,Edwards County,None
90044,Albion No. 3 precinct,Edwards County,None
41144,Lake Fork township,Logan County,None
51141,Mount Pulaski township,Logan County,None
69290,Sheridan township,Logan County,None
37413,Indiantown township,Bureau County,None
41807,La Moille township,Bureau County,None
42665,Leepertown township,Bureau County,None
49438,Milo township,Bureau County,None
2999,Augusta township,Hancock County,None
14104,Chili township,Hancock County,None
91010,Du Quoin No. 1 precinct,Perry County,None
93348,Swanwick precinct,Perry County,None
93762,Willisville precinct,Perry County,None
91021,Du Quoin No. 12 precinct,Perry County,None
61912,Princeton township,Bureau County,None
71305,South Twigg township,Hamilton County,None
76472,Twigg township,Hamilton County,None
92468,Pinckneyville No. 1 precinct,Perry County,None
92469,Pinckneyville No. 2 precinct,Perry County,None
60365,Plato township,Kane County,None
66430,Rutland township,Kane County,None
73404,Sugar Grove township,Kane County,None
78188,Virgil township,Kane County,None
49529,Mineral township,Bureau County,None
52012,Neponset township,Bureau County,None
55392,Ohio township,Bureau County,None
68562,Selby township,Bureau County,None
20344,Dora township,Moultrie County,None
92471,Pinckneyville No. 4 precinct,Perry County,None
92472,Pinckneyville No. 5 precinct,Perry County,None
92473,Pinckneyville No. 6 precinct,Perry County,None
92474,Pinckneyville No. 7 precinct,Perry County,None
22099,East Nelson township,Moultrie County,None
38609,Jonathan Creek township,Moultrie County,None
78539,Walnut township,Bureau County,None
80268,Westfield township,Bureau County,None
81009,Wheatland township,Bureau County,None
83635,Wyanet township,Bureau County,None
2960,Audubon township,Montgomery County,None
21761,East Fork township,Montgomery County,None
93386,Tamaroa No. 2 precinct,Perry County,None
64057,Ridott township,Stephenson County,None
5911,Biggsville township,Henderson County,None
62861,Raritan township,Henderson County,None
32304,Hallock township,Peoria County,Current Clients
21982,East Lincoln township,Logan County,None
36789,Hurlbut township,Logan County,None
56289,Oran township,Logan County,None
91332,Georges Creek precinct,Massac County,None
698,Algonquin township,McHenry County,In the Pipeline
41820,Lamoine township,McDonough County,None
50738,Mound township,McDonough County,None
52792,New Salem township,McDonough County,None
2791,Atlas township,Pike County,None
3974,Barry township,Pike County,None
61561,Prairie City township,McDonough County,None
12359,Chambersburg township,Pike County,None
68211,Sciota township,McDonough County,None
74678,Tennessee township,McDonough County,None
78409,Waldo township,Livingston County,None
92196,Mounds precinct,Pulaski County,None
78591,Walnut Grove township,McDonough County,None
6743,Blue Mound township,McLean County,Current Clients
12944,Chenoa township,McLean County,None
14390,Cincinnati township,Pike County,None
19577,Derry township,Pike County,None
19694,Detroit township,Pike County,None
24972,Fairmount township,Pike County,None
31784,Griggsville township,Pike County,None
32070,Hadley township,Pike County,None
17705,Cropsey township,McLean County,None
18550,Danvers township,McLean County,None
18732,Dawson township,McLean County,Current Clients
51297,Mulberry Grove township,Bond County,None
