NAMELSAD,COUSUBFP
Nilwood township,53052
Wabash precinct,93582
Compton precinct,90810
Goose Creek township,30523
Monticello township,50257
Sangamon township,67587
Willow Branch township,81906
Carman township,11280
Gladstone township,29444
Lomax township,44394
Bonpas township,07289
Olney township,55925
Santa Anna township,67639
Media township,48086
Oquawka township,56250
Stronghurst township,73274
Lynn township,45330
Ripley township,64187
Barnett township,03714
De Witt township,19785
Rutledge township,66469
Pine Creek township,59897
Terre Haute township,74730
Edgington township,22632
Cambridge township,10656
Alhambra township,00750
Fort Russell township,27130
Hamel township,32421
Marine township,46877
New Douglas township,52428
Reynolds township,63407
Olive township,55834
Pin Oak township,60014
St. Jacob township,66872
Wood River township,83284
Bellflower township,04910
Dale township,18381
Downs township,20656
Leef township,42652
Symmes township,74288
Burton township,10032
Coral township,16314
Hartland township,33305
Aurora township,03025
St. Charles township,66716
Pecatonica township,58421
Lake No. 1 precinct,91840
Vienna No. 2 precinct,93546
Lake No. 2 precinct,91842
Big Grove township,05872
Bristol township,08368
Fox township,27416
Little Rock township,44043
Bloomfield precinct,90450
Na-Au-Say township,51531
West Peoria city,80736
Rockville township,65195
South Jacksonville No. 1 precinct,93206
Buckhorn township,09291
Elkhorn township,23308
Burnside precinct,90558
Elvira precinct,91188
Goreville No. 1 precinct,91440
Grantsburg No. 1 precinct,91512
Pembroke township,58538
Pilot township,59819
St. Anne township,66651
Sumner township,73690
Grantsburg No. 2 precinct,91530
Ozark precinct,92340
Kerton township,39714
Lee township,42574
Lewistown township,43068
Simpson precinct,93168
Vienna No. 1 precinct,93528
Vienna No. 3 precinct,93552
Liverpool township,44134
Allin township,00893
Anchor township,01374
Arrowsmith township,02369
Aroma township,02245
Bourbonnais township,07484
Harter township,33266
Hoosier township,36087
Larkinsburg township,42158
Orion township,56588
Pleasant township,60430
Putman township,62276
South Jacksonville No. 3 precinct,93210
South Jacksonville No. 2 precinct,93208
Union township,76667
Coldbrook township,15404
Ellison township,23516
Floyd township,26610
Victor township,77798
Greenbush township,31277
Murrayville precinct,92232
Anderson township,01465
Douglas township,20461
Oakland township,54794
Ashkum township,02492
Belmont township,05014
Middleport township,48814
Prairie Green township,61665
Kelly township,39396
Lenox township,42847
Monmouth township,50023
Vermont township,77655
Orange township,56302
Alto township,01101
Bluff Springs township,06938
Precinct 2,92555
Precinct 3,92560
Artesia township,02401
Beaver township,04455
Swan township,74093
Woodland township,83089
Young Hickory township,84077
Kinmundy township,40130
Precinct 4,92565
Precinct 5,92570
Odin township,55223
Precinct 7,92580
Precinct 8,92585
Precinct 9,92590
Roseville township,65858
Beaverville township,04520
Crescent township,17367
Douglas township,20487
Fountain Creek township,27286
Omega township,56055
Sandoval township,67457
Patoka township,58070
Alma township,00932
Elkhorn Grove township,23321
Precinct 13,92610
Precinct 16,92625
Precinct 17,92630
Precinct 18,92635
Precinct 19,92640
Iroquois township,37725
Loda township,44277
Lovejoy township,44979
Milford township,49061
Precinct 11,92600
Precinct 14,92615
Precinct 24,92665
Precinct 27,92680
Precinct 20,92645
Precinct 23,92660
Precinct 25,92670
Precinct 26,92675
Precinct 29,92690
Precinct 30,92695
Barrington township,03831
Berwyn township,05586
Staunton township,72416
Clayton township,14793
Milks Grove township,49074
Onarga township,56094
Papineau township,57589
Pigeon Grove township,59767
Ridgeland township,63901
McClure precinct,91980
Olive Branch precinct,92304
Sandusky precinct,93114
Sheldon township,69225
Boynton township,07627
Cincinnati township,14403
Deer Creek township,18953
Genesee township,28833
Hahnaman township,32174
Hopkins township,36178
Hume township,36581
Delavan township,19239
Elm Grove township,23607
Fondulac township,26636
Montmorency township,50270
Precinct 31,92700
Precinct 32,92705
Precinct 33,92710
Precinct 34,92715
Precinct 35,92720
Precinct 36,92725
Calumet township,10474
Cicero township,14364
Lemont township,42808
New Trier township,52909
Enfield township,24192
Heralds Prairie township,34228
Richwood township,63745
Jersey township,38401
Mississippi township,49672
Otter Creek township,56952
Piasa township,59598
Quarry township,62354
Rosedale township,65689
Levan township,42990
Murphysboro township,51466
Precinct 21,92650
Sand Ridge township,67522
Groveland township,31940
Hittle township,35359
Mackinaw township,45792
Manlius township,46435
Malone township,46266
Morton township,50634
Pekin township,58460
Rooks Creek township,65520
Bath township,04169
Vergennes township,77538
Grand Tower township,30783
Pomona township,60963
Crook township,17627
Knight Prairie township,40299
Precinct 15,92620
Precinct 22,92655
County subdivisions not defined,00000
Bremen township,07939
Hanover township,32694
Niles township,53013
Proviso township,62133
Thornton township,75198
Northfield township,53676
Norwood Park township,54430
Oak Park township,54898
Orland township,56614
Hurricane township,36802
La Clede township,40533
Lone Grove township,44459
Otego township,56913
Shafter township,68926
Wheatland township,81022
Wilberton township,81568
Somerset township,70408
Spring Lake township,72130
Tremont township,75978
Washington township,79046
Toulon township,75796
Palatine township,57238
Palos township,57355
Riverside township,64434
Schaumburg township,68016
Bunker Hill township,09590
Brighton township,08277
Albany township,00529
Ramsey township,62640
Sefton township,68549
Okawville township,55483
Oakdale township,54599
Coloma township,15651
Fenton township,25817
Fulton township,28157
Garden Plain township,28586
Allen township,00763
Brookfield township,08583
Dayton township,18784
Lyons township,45447
Wheeling township,81100
Bird township,06067
Brushy Mound township,09135
Fox township,27390
Dimmick township,19980
Eagle township,21436
Earl township,21527
Eden township,22424
Fall River township,25284
Farm Ridge township,25583
Grand Rapids township,30744
Carlinville township,11209
Girard township,29405
Hillyard township,35242
Honey Point township,35996
Ustick township,77070
Elk township,23217
Allens Grove township,00844
Hope township,36100
LaSalle township,42197
Manlius township,46448
Mendota township,48346
Meriden township,48463
Miller township,49204
Mount Olive township,51037
North Otter township,54040
Forest City township,26766
Havana township,33526
Manito township,46396
Pennsylvania township,58629
Quiver township,62419
North Palmyra township,54053
Polk township,60924
Mission township,49646
Northville township,54248
Osage township,56731
Ottawa township,56939
Otter Creek township,56965
Scottville township,68419
Shaws Point township,69121
Shipman township,69576
Virden township,78162
Abington township,00126
Western Mound township,80229
Prophetstown township,61990
Sterling township,72553
Tampico township,74483
Union Grove township,76758
Moraine township,50364
Warren township,78877
Zion township,84233
Centreville township,12210
Shiloh Valley township,69550
Stookey township,72988
Millstadt township,49399
Lynnville-Markham precinct,91965
Meredosia precinct,92041
Chapin-Concord precinct,90725
