STATEFP,COUNTYFP,NAMELSAD,COUSUBFP,Place Name,Place Type,Label
17,43,Downers Grove township,20604,DuPage County,County,Current Clients
17,43,Naperville township,51635,DuPage County,County,In the Pipeline
17,43,Winfield township,82413,DuPage County,County,None
17,45,Shiloh township,69498,Edgar County,County,None
17,45,Stratton township,73092,Edgar County,County,None
17,45,Young America township,84064,Edgar County,County,None
17,43,Chicago city,14000,DuPage County,County,None
17,169,Bainbridge township,3350,Schuyler County,County,None
17,169,Birmingham township,6132,Schuyler County,County,None
17,161,Coal Valley township,15248,Rock Island County,County,In the Pipeline
17,149,Pittsfield township,60235,Pike County,County,None
17,149,Pleasant Hill township,60547,Pike County,County,None
17,99,Adams township,204,La Salle County,County,None
17,99,Ophir township,56224,La Salle County,County,None
17,149,Pleasant Vale township,60651,Pike County,County,None
17,149,Ross township,65936,Pike County,County,None
17,149,Spring Creek township,71617,Pike County,County,None
17,133,Precinct 1,92550,Monroe County,County,None
17,133,Precinct 6,92575,Monroe County,County,None
17,133,Precinct 10,92595,Monroe County,County,None
17,99,Richland township,63576,La Salle County,County,None
17,103,Amboy township,1283,Lee County,County,None
17,83,English township,24231,Jersey County,County,None
17,83,Fidelity township,25973,Jersey County,County,None
17,43,Bloomingdale township,6600,DuPage County,County,None
17,141,Forreston township,27078,Ogle County,County,Current Clients
17,169,Brooklyn township,8693,Schuyler County,County,None
17,169,Browning township,8966,Schuyler County,County,None
17,169,Camden township,10708,Schuyler County,County,None
17,169,Frederick township,27793,Schuyler County,County,None
17,169,Hickory township,34462,Schuyler County,County,None
17,169,Huntsville township,36776,Schuyler County,County,None
17,143,Akron township,477,Peoria County,County,Current Clients
17,143,Brimfield township,8316,Peoria County,County,Current Clients
17,143,Chillicothe township,14130,Peoria County,County,Current Clients
17,143,Elmwood township,23711,Peoria County,County,Current Clients
17,143,Hollis township,35645,Peoria County,County,Current Clients
17,143,Jubilee township,38765,Peoria County,County,Current Clients
17,143,Limestone township,43523,Peoria County,County,Current Clients
17,1,Clayton township,14780,Adams County,County,None
17,1,Ellington township,23412,Adams County,County,None
17,1,Gilmer township,29288,Adams County,County,None
17,1,Lima township,43458,Adams County,County,None
17,1,Mendon township,48320,Adams County,County,None
17,1,Ursa township,77057,Adams County,County,None
17,133,Precinct 37,92730,Monroe County,County,None
17,133,Precinct 28,92685,Monroe County,County,None
17,103,Bradford township,7679,Lee County,County,None
17,103,Brooklyn township,8654,Lee County,County,None
17,103,Harmon township,32980,Lee County,County,None
17,103,Lee Center township,42613,Lee County,County,None
17,169,Rushville township,66352,Schuyler County,County,None
17,187,Hale township,32226,Warren County,County,None
17,187,Spring Grove township,72065,Warren County,County,None
17,13,Belleview precinct,90360,Calhoun County,County,None
17,13,Carlin precinct,90630,Calhoun County,County,None
17,13,Crater precinct,90900,Calhoun County,County,None
17,13,Gilead precinct,91350,Calhoun County,County,None
17,13,Hamburg precinct,91584,Calhoun County,County,None
17,145,Du Quoin No. 2 precinct,91011,Perry County,County,None
17,145,Beaucoup precinct,90342,Perry County,County,None
17,145,Sunfield precinct,93330,Perry County,County,None
17,145,Pinckneyville No. 8 precinct,92475,Perry County,County,None
17,145,Tamaroa No. 1 precinct,93384,Perry County,County,None
17,145,Cutler precinct,90936,Perry County,County,None
17,143,Logan township,44342,Peoria County,County,Current Clients
17,143,Millbrook township,49113,Peoria County,County,Current Clients
17,143,Princeville township,61938,Peoria County,County,Current Clients
17,143,Radnor township,62510,Peoria County,County,Current Clients
17,143,Richwoods township,63771,Peoria County,County,Current Clients
17,143,Rosefield township,65715,Peoria County,County,Current Clients
17,143,Timber township,75289,Peoria County,County,Current Clients
17,93,Lisbon township,43913,Kendall County,County,In the Pipeline
17,93,Lisbon township,43913,Kendall County,County,In the Pipeline
17,97,Vernon township,77668,Lake County,County,Current Clients
17,125,Mason City township,47482,Mason County,County,None
17,157,Percy precinct,92394,Randolph County,County,None
17,179,Sand Prairie township,67483,Tazewell County,County,In the Pipeline
17,203,Cruger township,17861,Woodford County,County,None
17,137,Jacksonville No. 10 precinct,91720,Morgan County,County,None
17,103,Wyoming township,83674,Lee County,County,None
17,13,Hardin precinct,91602,Calhoun County,County,None
17,169,Littleton township,44069,Schuyler County,County,None
17,13,Richwood precinct,92988,Calhoun County,County,None
17,197,Lockport township,44238,Will County,County,None
17,197,Wilton township,82244,Will County,County,None
17,197,Channahon township,12483,Will County,County,None
17,197,Crete township,17536,Will County,County,None
17,197,Custer township,18199,Will County,County,None
17,197,Florence township,26519,Will County,County,None
17,197,Frankfort township,27631,Will County,County,None
17,149,Martinsburg township,47241,Pike County,County,None
17,143,Trivoli township,76121,Peoria County,County,None
17,143,West Peoria township,80749,Peoria County,County,None
17,103,Nachusa township,51557,Lee County,County,None
17,111,Chemung township,12892,McHenry County,County,None
17,175,Osceola township,56783,Stark County,County,None
17,199,Carterville precinct,90648,Williamson County,County,None
17,199,Creal Springs precinct,90918,Williamson County,County,None
17,199,Herrin precinct,91620,Williamson County,County,None
17,199,Stonefort precinct,93294,Williamson County,County,None
17,199,Crab Orchard precinct,90882,Williamson County,County,None
17,111,Dorr township,20396,McHenry County,County,None
17,111,Dunham township,21111,McHenry County,County,None
17,111,Grafton township,30666,McHenry County,County,None
17,111,Greenwood township,31680,McHenry County,County,None
17,111,Hebron township,33864,McHenry County,County,None
17,191,Zif township,84194,Wayne County,County,None
17,181,Jonesboro District 1 precinct,91764,Union County,County,None
17,149,Levee township,43003,Pike County,County,None
17,149,Montezuma township,50192,Pike County,County,None
17,25,Clay City township,14728,Clay County,County,None
17,105,Nebraska township,51895,Livingston County,County,None
17,105,Sunbury township,73781,Livingston County,County,None
17,197,Green Garden township,31394,Will County,County,None
17,197,Homer township,35827,Will County,County,None
17,197,Jackson township,38076,Will County,County,None
17,197,Joliet township,38583,Will County,County,None
17,197,Monee township,49958,Will County,County,None
17,197,New Lenox township,52597,Will County,County,None
17,75,Ash Grove township,2453,Iroquois County,County,None
17,75,Chebanse township,12814,Iroquois County,County,None
17,75,Concord township,16041,Iroquois County,County,None
17,75,Danforth township,18511,Iroquois County,County,None
17,75,Martinton township,47293,Iroquois County,County,None
17,145,Du Quoin No. 8 precinct,91017,Perry County,County,None
17,199,Corinth precinct,90846,Williamson County,County,None
17,199,Southern precinct,93204,Williamson County,County,None
17,199,Lake Creek precinct,91836,Williamson County,County,None
17,111,McHenry township,45707,McHenry County,County,None
17,111,Marengo township,46799,McHenry County,County,None
17,111,Richmond township,63654,McHenry County,County,None
17,35,Crooked Creek township,17640,Cumberland County,County,None
17,35,Spring Point township,72143,Cumberland County,County,None
17,111,Riley township,64096,McHenry County,County,None
17,111,Nunda township,54495,McHenry County,County,In the Pipeline
17,111,Seneca township,68653,McHenry County,County,None
17,25,Bible Grove township,5807,Clay County,County,None
17,25,Blair township,6392,Clay County,County,None
17,25,Oskaloosa township,56835,Clay County,County,None
17,25,Pixley township,60261,Clay County,County,None
17,139,Sullivan township,73508,Moultrie County,County,None
17,91,Otto township,57017,Kankakee County,County,None
17,25,Songer township,70486,Clay County,County,None
17,25,Stanford township,72247,Clay County,County,None
17,25,Xenia township,83752,Clay County,County,None
17,57,Farmington township,25544,Fulton County,County,None
17,57,Harris township,33110,Fulton County,County,None
17,57,Isabel township,37842,Fulton County,County,None
17,57,Waterford township,79137,Fulton County,County,None
17,179,Little Mackinaw township,44017,Tazewell County,County,In the Pipeline
17,135,Butler Grove township,10175,Montgomery County,County,None
17,135,Nokomis township,53182,Montgomery County,County,None
17,135,North Litchfield township,53949,Montgomery County,County,None
17,135,Raymond township,62978,Montgomery County,County,None
17,89,Batavia township,4091,Kane County,County,None
17,89,Big Rock township,5989,Kane County,County,None
17,89,Blackberry township,6262,Kane County,County,None
17,89,Campton township,10903,Kane County,County,None
17,35,Cottonwood township,16587,Cumberland County,County,None
17,35,Sumpter township,73729,Cumberland County,County,None
17,35,Woodbury township,82959,Cumberland County,County,None
17,35,Greenup township,31537,Cumberland County,County,None
17,181,Alto Pass precinct,90090,Union County,County,None
17,89,Dundee township,21046,Kane County,County,In the Pipeline
17,89,Geneva township,28885,Kane County,County,Current Clients
17,89,Hampshire township,32538,Kane County,County,None
17,89,Kaneville township,38908,Kane County,County,None
17,121,Centralia township,12177,Marion County,County,None
17,121,Romine township,65455,Marion County,County,None
17,121,Salem township,67249,Marion County,County,None
17,121,Tonti township,75744,Marion County,County,None
17,99,Peru township,59247,La Salle County,County,None
17,99,Serena township,68692,La Salle County,County,None
17,57,Deerfield township,18979,Fulton County,County,None
17,99,South Ottawa township,71110,La Salle County,County,None
17,99,Troy Grove township,76238,La Salle County,County,None
17,99,Utica township,77096,La Salle County,County,None
17,99,Wallace township,78487,La Salle County,County,None
17,99,Waltham township,78682,La Salle County,County,None
17,85,East Galena township,21813,Jo Daviess County,County,None
17,167,Pawnee township,58187,Sangamon County,County,In the Pipeline
17,91,Essex township,24465,Kankakee County,County,None
17,91,Ganeer township,28456,Kankakee County,County,None
17,91,Kankakee township,38947,Kankakee County,County,None
17,91,Limestone township,43497,Kankakee County,County,None
17,91,Manteno township,46513,Kankakee County,County,None
17,91,Momence township,49906,Kankakee County,County,None
17,91,Norton township,54352,Kankakee County,County,None
17,157,Brewerville precinct,90522,Randolph County,County,None
17,157,Kaskaskia precinct,91818,Randolph County,County,None
17,157,Rockwood precinct,93042,Randolph County,County,None
17,157,Wine Hill precinct,93834,Randolph County,County,None
17,41,Bourbon township,7458,Douglas County,County,None
17,171,Alsey precinct,90072,Scott County,County,None
17,171,Bloomfield precinct,90468,Scott County,County,None
17,171,Glasgow precinct,91368,Scott County,County,None
17,171,Manchester precinct,92016,Scott County,County,None
17,41,Bowdre township,7497,Douglas County,County,None
17,41,Camargo township,10604,Douglas County,County,None
17,41,Garrett township,28755,Douglas County,County,None
17,41,Murdock township,51427,Douglas County,County,None
17,41,Newman township,52636,Douglas County,County,None
17,41,Sargent township,67730,Douglas County,County,None
17,41,Tuscola township,76420,Douglas County,County,None
17,21,Stonington township,72962,Christian County,County,None
17,81,Bald Hill township,3428,Jefferson County,County,None
17,81,Blissville township,6496,Jefferson County,County,None
17,81,Casner township,11670,Jefferson County,County,None
17,81,Dodds township,20227,Jefferson County,County,None
17,81,Elk Prairie township,23334,Jefferson County,County,None
17,81,Farrington township,25648,Jefferson County,County,None
17,81,Field township,25986,Jefferson County,County,None
17,81,Grand Prairie township,30731,Jefferson County,County,None
17,171,Merritt precinct,92052,Scott County,County,None
17,171,Naples-Bluffs precinct,92250,Scott County,County,None
17,171,Winchester No. 1 precinct,93780,Scott County,County,None
17,171,Winchester No. 2 precinct,93798,Scott County,County,None
17,81,McClellan township,45512,Jefferson County,County,None
17,81,Moores Prairie township,50348,Jefferson County,County,None
17,81,Mount Vernon township,51193,Jefferson County,County,None
17,81,Pendleton township,58564,Jefferson County,County,None
17,81,Rome township,65377,Jefferson County,County,None
17,81,Shiloh township,69511,Jefferson County,County,None
17,81,Spring Garden township,72039,Jefferson County,County,None
17,81,Webber township,79514,Jefferson County,County,None
17,157,Central precinct,90702,Randolph County,County,None
17,157,Coulterville precinct,90864,Randolph County,County,None
17,157,Palestine precinct,92358,Randolph County,County,None
17,157,Steeleville precinct,93240,Randolph County,County,None
17,157,Tilden precinct,93438,Randolph County,County,None
17,157,Baldwin precinct,90306,Randolph County,County,None
17,157,Ellis Grove precinct,91170,Randolph County,County,None
17,115,Blue Mound township,6769,Macon County,County,In the Pipeline
17,115,Decatur township,18836,Macon County,County,In the Pipeline
17,171,Winchester No. 3 precinct,93816,Scott County,County,None
17,203,El Paso township,23750,Woodford County,County,None
17,85,Menominee township,48372,Jo Daviess County,County,None
17,85,Nora township,53208,Jo Daviess County,County,None
17,115,Friends Creek township,27988,Macon County,County,In the Pipeline
17,115,Harristown township,33240,Macon County,County,In the Pipeline
17,115,Hickory Point township,34527,Macon County,County,None
17,115,Long Creek township,44511,Macon County,County,In the Pipeline
17,115,Maroa township,47085,Macon County,County,In the Pipeline
17,115,Mount Zion township,51219,Macon County,County,None
17,99,Deer Park township,19096,La Salle County,County,None
17,99,Groveland township,31914,La Salle County,County,None
17,99,Vermillion township,77623,La Salle County,County,None
17,85,Pleasant Valley township,60664,Jo Daviess County,County,None
17,85,Rawlins township,62926,Jo Daviess County,County,None
17,167,Clear Lake township,14858,Sangamon County,County,In the Pipeline
17,167,Curran township,18160,Sangamon County,County,In the Pipeline
17,167,Gardner township,28651,Sangamon County,County,In the Pipeline
17,141,Brookville township,8784,Ogle County,County,None
17,85,Rice township,63472,Jo Daviess County,County,None
17,85,Rush township,66326,Jo Daviess County,County,None
17,85,Scales Mound township,67938,Jo Daviess County,County,None
17,115,Niantic township,52974,Macon County,County,In the Pipeline
17,115,Oakley township,54859,Macon County,County,In the Pipeline
17,115,South Wheatland township,71357,Macon County,County,None
17,115,Whitmore township,81464,Macon County,County,In the Pipeline
17,85,Thompson township,75146,Jo Daviess County,County,None
17,85,Wards Grove township,78799,Jo Daviess County,County,None
17,85,Warren township,78864,Jo Daviess County,County,None
17,85,West Galena township,80359,Jo Daviess County,County,None
17,85,Woodbine township,82907,Jo Daviess County,County,None
17,85,Vinegar Hill township,78084,Jo Daviess County,County,None
17,181,Union precinct,93484,Union County,County,None
17,59,Eagle Creek township,21449,Gallatin County,County,None
17,59,Equality township,24361,Gallatin County,County,None
17,59,Gold Hill township,30302,Gallatin County,County,None
17,59,North Fork township,53702,Gallatin County,County,None
17,17,Arenzville township,1959,Cass County,County,None
17,17,Ashland township,2518,Cass County,County,None
17,17,Beardstown township,4364,Cass County,County,None
17,59,Omaha township,56016,Gallatin County,County,None
17,59,Ridgway township,64031,Gallatin County,County,None
17,59,Shawnee township,69069,Gallatin County,County,None
17,137,Jacksonville No. 2 precinct,91712,Morgan County,County,None
17,101,Christy township,14299,Lawrence County,County,None
17,101,Lukin township,45200,Lawrence County,County,None
17,17,Hagener township,32148,Cass County,County,None
17,17,Newmansville township,52662,Cass County,County,None
17,17,Panther Creek township,57550,Cass County,County,None
17,17,Philadelphia township,59481,Cass County,County,None
17,17,Virginia township,78214,Cass County,County,None
17,137,Pisgah precinct,92484,Morgan County,County,None
17,141,Buffalo township,9421,Ogle County,County,Current Clients
17,141,Byron township,10253,Ogle County,County,Current Clients
17,141,Dement township,19382,Ogle County,County,Current Clients
17,141,Eagle Point township,21501,Ogle County,County,Current Clients
17,141,Flagg township,26298,Ogle County,County,Current Clients
17,141,Grand Detour township,30718,Ogle County,County,None
17,141,Lafayette township,40650,Ogle County,County,Current Clients
17,141,Leaf River township,42470,Ogle County,County,Current Clients
17,141,Lincoln township,43549,Ogle County,County,None
17,141,Lynnville township,45382,Ogle County,County,Current Clients
17,141,Marion township,46903,Ogle County,County,Current Clients
17,141,Maryland township,47358,Ogle County,County,Current Clients
17,141,Monroe township,50049,Ogle County,County,Current Clients
17,141,Mount Morris township,51011,Ogle County,County,Current Clients
17,141,Oregon-Nashua township,56504,Ogle County,County,None
17,141,Pine Rock township,59975,Ogle County,County,None
17,137,Alexander precinct,90054,Morgan County,County,None
17,137,Arcadia precinct,90234,Morgan County,County,None
17,137,Jacksonville No. 1 precinct,91711,Morgan County,County,None
17,137,Jacksonville No. 3 precinct,91713,Morgan County,County,None
17,137,Jacksonville No. 4 precinct,91714,Morgan County,County,None
17,141,Rockvale township,65182,Ogle County,County,Current Clients
17,141,White Rock township,81399,Ogle County,County,Current Clients
17,141,Woosung township,83492,Ogle County,County,None
17,101,Allison township,906,Lawrence County,County,None
17,101,Russell township,66378,Lawrence County,County,None
17,101,Bridgeport township,8199,Lawrence County,County,None
17,37,Shabbona township,68835,DeKalb County,County,None
17,37,Somonauk township,70473,DeKalb County,County,None
17,181,Anna District 1 precinct,90126,Union County,County,None
17,181,Anna District 2 precinct,90144,Union County,County,None
17,181,Anna District 3 precinct,90162,Union County,County,None
17,181,Anna District 6 precinct,90216,Union County,County,None
17,175,Elmira township,23646,Stark County,County,None
17,35,Neoga township,51993,Cumberland County,County,None
17,35,Union township,76641,Cumberland County,County,None
17,19,Ayers township,3246,Champaign County,County,None
17,3,Cache precinct,90576,Alexander County,County,None
17,21,Locust township,44251,Christian County,County,None
17,141,Scott township,68302,Ogle County,County,Current Clients
17,77,Ora township,56276,Jackson County,County,None
17,37,Afton township,386,DeKalb County,County,None
17,37,Clinton township,14988,DeKalb County,County,None
17,37,Cortland township,16483,DeKalb County,County,None
17,37,DeKalb township,19174,DeKalb County,County,None
17,11,Hall township,32265,Bureau County,County,None
17,11,Macon township,45928,Bureau County,County,None
17,37,Franklin township,27650,DeKalb County,County,None
17,37,Genoa township,28911,DeKalb County,County,None
17,37,Kingston township,40078,DeKalb County,County,None
17,37,Malta township,46292,DeKalb County,County,None
17,37,Mayfield township,47696,DeKalb County,County,None
17,37,Milan township,48983,DeKalb County,County,None
17,37,Paw Paw township,58200,DeKalb County,County,None
17,37,Pierce township,59676,DeKalb County,County,None
17,37,Sandwich township,67561,DeKalb County,County,None
17,37,South Grove township,70837,DeKalb County,County,None
17,37,Sycamore township,74236,DeKalb County,County,None
17,27,Sugar Creek township,73365,Clinton County,County,None
17,15,Freedom township,27832,Carroll County,County,None
17,121,Foster township,27195,Marion County,County,None
17,137,Waverly No. 1 precinct,93640,Morgan County,County,None
17,121,Stevenson township,72598,Marion County,County,None
17,113,Bloomington township,6626,McLean County,County,Current Clients
17,113,Bloomington City township,6639,McLean County,County,None
17,113,Cheney's Grove township,12905,McLean County,County,Current Clients
17,113,Empire township,24140,McLean County,County,Current Clients
17,113,Hudson township,36451,McLean County,County,Current Clients
17,137,Franklin precinct,91278,Morgan County,County,None
17,137,Jacksonville No. 5 precinct,91715,Morgan County,County,None
17,121,Carrigan township,11436,Marion County,County,None
17,121,Haines township,32187,Marion County,County,None
17,121,Meacham township,47826,Marion County,County,None
17,121,Raccoon township,62445,Marion County,County,None
17,67,Rocky Run-Wilcox township,65240,Hancock County,County,None
17,167,Cotton Hill township,16574,Sangamon County,County,In the Pipeline
17,167,Fancy Creek township,25323,Sangamon County,County,In the Pipeline
17,125,Crane Creek township,17250,Mason County,County,None
17,125,Kilbourne township,39870,Mason County,County,None
17,125,Salt Creek township,67353,Mason County,County,None
17,125,Sherman township,69329,Mason County,County,None
17,19,Colfax township,15482,Champaign County,County,Current Clients
17,19,Compromise township,15976,Champaign County,County,Current Clients
17,123,Evans township,24569,Marshall County,County,None
17,19,Condit township,16080,Champaign County,County,Current Clients
17,19,Crittenden township,17588,Champaign County,County,Current Clients
17,19,Ogden township,55288,Champaign County,County,Current Clients
17,19,Pesotum township,59286,Champaign County,County,Current Clients
17,69,Rosiclare precinct,93050,Hardin County,County,None
17,123,La Prairie township,42093,Marshall County,County,None
17,123,Richland township,63589,Marshall County,County,None
17,123,Saratoga township,67691,Marshall County,County,None
17,19,Philo township,59546,Champaign County,County,Current Clients
17,19,Stanton township,72273,Champaign County,County,Current Clients
17,19,Tolono township,75627,Champaign County,County,Current Clients
17,123,Whitefield township,81230,Marshall County,County,None
17,121,Iuka township,37946,Marion County,County,None
17,105,Amity township,1348,Livingston County,County,None
17,105,Germanville township,29106,Livingston County,County,None
17,109,Blandinsville township,6483,McDonough County,County,None
17,109,Chalmers township,12333,McDonough County,County,None
17,109,Emmet township,24101,McDonough County,County,None
17,109,Macomb township,45902,McDonough County,County,None
17,109,Macomb City township,45915,McDonough County,County,None
17,19,East Bend township,21566,Champaign County,County,None
17,19,Harwood township,33422,Champaign County,County,None
17,19,Kerr township,39688,Champaign County,County,None
17,19,Mahomet township,46149,Champaign County,County,Current Clients
17,19,Newcomb township,52376,Champaign County,County,Current Clients
17,19,Raymond township,62952,Champaign County,County,Current Clients
17,109,Scotland township,68250,McDonough County,County,None
17,23,Auburn township,2908,Clark County,County,None
17,19,Sadorus township,66547,Champaign County,County,Current Clients
17,19,Scott township,68289,Champaign County,County,Current Clients
17,19,Sidney township,69888,Champaign County,County,Current Clients
17,19,South Homer township,70863,Champaign County,County,None
17,69,Rock precinct,92995,Hardin County,County,None
17,115,Illini township,37023,Macon County,County,In the Pipeline
17,19,Champaign township,12398,Champaign County,County,Current Clients
17,19,Champaign City township,12411,Champaign County,County,None
17,19,Cunningham township,18121,Champaign County,County,None
17,195,Mount Pleasant township,51076,Whiteside County,County,None
17,179,Dillon township,19941,Tazewell County,County,In the Pipeline
17,179,Hopedale township,36139,Tazewell County,County,None
17,19,Hensley township,34189,Champaign County,County,None
17,19,Ludlow township,45187,Champaign County,County,Current Clients
17,19,Rantoul township,62796,Champaign County,County,Current Clients
17,19,St. Joseph township,66963,Champaign County,County,None
17,19,Somer township,70382,Champaign County,County,Current Clients
17,19,Urbana township,77018,Champaign County,County,Current Clients
17,99,Bruce township,9057,La Salle County,County,None
17,99,Freedom township,27845,La Salle County,County,None
17,165,East Eldorado township,21709,Saline County,County,None
17,165,Galatia township,28274,Saline County,County,None
17,15,Woodland township,83076,Carroll County,County,None
17,99,Rutland township,66456,La Salle County,County,None
17,165,Harrisburg township,33149,Saline County,County,None
17,3,Thebes precinct,93420,Alexander County,County,None
17,117,South Palmyra township,71136,Macoupin County,County,None
17,117,Cahokia township,10357,Macoupin County,County,None
17,117,South Otter township,71123,Macoupin County,County,None
17,117,Chesterfield township,13178,Macoupin County,County,None
17,117,Gillespie township,29249,Macoupin County,County,None
17,117,Dorchester township,20383,Macoupin County,County,None
17,117,Barr township,3792,Macoupin County,County,None
17,79,Smallwood township,70200,Jasper County,County,None
17,115,Pleasant View township,60677,Macon County,County,In the Pipeline
17,177,Lancaster township,41885,Stephenson County,County,None
17,177,Silver Creek township,69953,Stephenson County,County,None
17,165,Independence township,37205,Saline County,County,None
17,165,Long Branch township,44485,Saline County,County,None
17,165,Raleigh township,62601,Saline County,County,None
17,165,Rector township,63030,Saline County,County,None
17,165,Tate township,74509,Saline County,County,None
17,21,Mount Auburn township,50842,Christian County,County,None
17,199,Blairsville precinct,90432,Williamson County,County,None
17,199,East Marion precinct,91062,Williamson County,County,None
17,199,Grassy precinct,91548,Williamson County,County,None
17,199,West Marion precinct,93690,Williamson County,County,None
17,71,Rozetta township,66222,Henderson County,County,None
17,183,Elwood township,23932,Vermilion County,County,None
17,95,Galesburg township,28339,Knox County,County,In the Pipeline
17,95,Henderson township,34020,Knox County,County,In the Pipeline
17,95,Orange township,56315,Knox County,County,In the Pipeline
17,129,Greenview No. 6 precinct,91566,Menard County,County,None
17,129,Oakford No. 9 precinct,92286,Menard County,County,None
17,129,Sandridge No. 8 precinct,93096,Menard County,County,None
17,175,Essex township,24478,Stark County,County,None
17,175,Goshen township,30627,Stark County,County,None
17,107,Aetna township,360,Logan County,County,None
17,107,Elkhart township,23282,Logan County,County,None
17,107,Orvil township,56705,Logan County,County,None
17,107,Prairie Creek township,61574,Logan County,County,None
17,107,West Lincoln township,80593,Logan County,County,None
17,153,Grand Chain precinct,91476,Pulaski County,County,None
17,153,Ullin precinct,93474,Pulaski County,County,None
17,153,Villa Ridge precinct,93564,Pulaski County,County,None
17,171,Exeter-Bluffs precinct,91224,Scott County,County,None
17,21,May township,47631,Christian County,County,None
17,15,Wysox township,83700,Carroll County,County,None
17,61,Kane township,38882,Greene County,County,None
17,61,Rockbridge township,64824,Greene County,County,None
17,61,White Hall township,81269,Greene County,County,None
17,87,Belknap precinct,90346,Johnson County,County,None
17,87,Cache precinct,90594,Johnson County,County,None
17,87,Goreville No. 2 precinct,91458,Johnson County,County,None
17,87,Tunnel Hill precinct,93456,Johnson County,County,None
17,195,Erie township,24387,Whiteside County,County,In the Pipeline
17,195,Lyndon township,45291,Whiteside County,County,None
17,175,Penn township,58603,Stark County,County,None
17,175,West Jersey township,80489,Stark County,County,None
17,183,Blount township,6678,Vermilion County,County,None
17,183,Butler township,10162,Vermilion County,County,None
17,183,Carroll township,11449,Vermilion County,County,None
17,183,Catlin township,11787,Vermilion County,County,None
17,195,Newton township,52857,Whiteside County,County,In the Pipeline
17,195,Portland township,61262,Whiteside County,County,None
17,181,Dongola District 1 precinct,90972,Union County,County,None
17,189,Ashley township,2544,Washington County,County,None
17,189,Beaucoup township,4442,Washington County,County,None
17,189,Bolo township,7172,Washington County,County,None
17,189,Du Bois township,20877,Washington County,County,None
17,189,Irvington township,37790,Washington County,County,None
17,105,Avoca township,3194,Livingston County,County,None
17,105,Belle Prairie township,4780,Livingston County,County,None
17,105,Broughton township,8888,Livingston County,County,None
17,105,Charlotte township,12606,Livingston County,County,None
17,105,Chatsworth township,12723,Livingston County,County,None
17,105,Dwight township,21371,Livingston County,County,None
17,73,Galva township,28443,Henry County,County,None
17,157,Bremen precinct,90504,Randolph County,County,None
17,157,Chester precinct,90738,Randolph County,County,None
17,157,Evansville precinct,91206,Randolph County,County,None
17,157,Prairie du Rocher precinct,92520,Randolph County,County,None
17,157,Red Bud precinct,92970,Randolph County,County,None
17,157,Ruma precinct,93060,Randolph County,County,None
17,157,Sparta precinct,93222,Randolph County,County,None
17,183,Danville township,18576,Vermilion County,County,None
17,183,Georgetown township,28976,Vermilion County,County,None
17,183,Grant township,30965,Vermilion County,County,None
17,189,Johannisburg township,38453,Washington County,County,None
17,189,Lively Grove township,44108,Washington County,County,None
17,189,Nashville township,51713,Washington County,County,None
17,189,Pilot Knob township,59858,Washington County,County,None
17,189,Plum Hill township,60807,Washington County,County,None
17,7,LeRoy township,42951,Boone County,County,In the Pipeline
17,7,Manchester township,46318,Boone County,County,In the Pipeline
17,7,Poplar Grove township,61158,Boone County,County,In the Pipeline
17,183,Love township,44953,Vermilion County,County,None
17,183,McKendree township,45772,Vermilion County,County,None
17,183,Middlefork township,48775,Vermilion County,County,None
17,189,Richview township,63732,Washington County,County,None
17,105,Eppards Point township,24309,Livingston County,County,None
17,105,Esmen township,24426,Livingston County,County,None
17,7,Spring township,71578,Boone County,County,In the Pipeline
17,15,Cherry Grove-Shannon township,12996,Carroll County,County,None
17,15,Fairhaven township,24881,Carroll County,County,None
17,105,Fayette township,25700,Livingston County,County,None
17,105,Forrest township,27039,Livingston County,County,None
17,105,Indian Grove township,37244,Livingston County,County,None
17,105,Long Point township,44589,Livingston County,County,None
17,105,Nevada township,52077,Livingston County,County,None
17,105,Newtown township,52883,Livingston County,County,None
17,105,Odell township,55184,Livingston County,County,None
17,15,Mount Carroll township,50894,Carroll County,County,None
17,23,Casey township,11631,Clark County,County,None
17,193,Emma township,24088,White County,County,None
17,193,Hawthorne township,33591,White County,County,None
17,193,Mill Shoals township,49360,White County,County,None
17,15,Rock Creek-Lima township,64892,Carroll County,County,None
17,15,Salem township,67210,Carroll County,County,None
17,15,Savanna township,67834,Carroll County,County,None
17,15,Washington township,79020,Carroll County,County,None
17,15,York township,83908,Carroll County,County,None
17,183,Newell township,52454,Vermilion County,County,None
17,183,Oakwood township,55015,Vermilion County,County,None
17,183,Pilot township,59832,Vermilion County,County,None
17,105,Owego township,57056,Livingston County,County,None
17,105,Pike township,59780,Livingston County,County,None
17,105,Pleasant Ridge township,60612,Livingston County,County,None
17,105,Pontiac township,61028,Livingston County,County,None
17,105,Reading township,63017,Livingston County,County,None
17,105,Round Grove township,65988,Livingston County,County,None
17,73,Andover township,1504,Henry County,County,None
17,73,Western township,80190,Henry County,County,None
17,183,Sidell township,69849,Vermilion County,County,None
17,183,South Ross township,71227,Vermilion County,County,None
17,51,Bowling Green township,7562,Fayette County,County,None
17,51,Kaskaskia township,39116,Fayette County,County,None
17,51,Sharon township,69017,Fayette County,County,None
17,105,Saunemin township,67808,Livingston County,County,None
17,105,Sullivan township,73482,Livingston County,County,None
17,105,Union township,76680,Livingston County,County,None
17,181,Balcom precinct,90288,Union County,County,None
17,181,Cobden District 1 precinct,90756,Union County,County,None
