STATEFP,COUNTYFP,NAMELSAD,COUSUBFP,Place Name,Place Type,Label
17,23,Parker township,57667,Clark County,County,None
17,23,Wabash township,78279,Clark County,County,None
17,23,York township,83934,Clark County,County,None
17,29,Seven Hickory township,68718,Coles County,County,None
17,47,Bone Gap precinct,90486,Edwards County,County,None
17,47,Ellery precinct,91152,Edwards County,County,None
17,47,Salem No. 2 precinct,93084,Edwards County,County,None
17,53,Peach Orchard township,58317,Ford County,County,None
17,53,Pella township,58512,Ford County,County,None
17,53,Rogers township,65273,Ford County,County,None
17,53,Sullivant township,73521,Ford County,County,None
17,53,Wall township,78474,Ford County,County,None
17,55,Ewing township,24686,Franklin County,County,None
17,55,Six Mile township,70070,Franklin County,County,None
17,55,Cave township,11813,Franklin County,County,None
17,97,Antioch township,1608,Lake County,County,None
17,97,Avon township,3220,Lake County,County,None
17,97,Cuba township,18004,Lake County,County,None
17,97,Grant township,30952,Lake County,County,None
17,83,Ruyle township,66482,Jersey County,County,None
17,93,Kendall township,39454,Kendall County,County,In the Pipeline
17,93,Kendall township,39454,Kendall County,County,In the Pipeline
17,93,Oswego township,56900,Kendall County,County,In the Pipeline
17,93,Oswego township,56900,Kendall County,County,In the Pipeline
17,93,Oswego township,56900,Kendall County,County,In the Pipeline
17,27,Breese township,7926,Clinton County,County,None
17,27,Brookside township,8732,Clinton County,County,None
17,27,East Fork township,21748,Clinton County,County,None
17,27,Irishtown township,37673,Clinton County,County,None
17,91,Salina township,67262,Kankakee County,County,None
17,91,Yellowhead township,83856,Kankakee County,County,None
17,135,Grisham township,31836,Montgomery County,County,None
17,135,Harvel township,33370,Montgomery County,County,None
17,21,Assumption township,2622,Christian County,County,None
17,21,Bear Creek township,4325,Christian County,County,None
17,97,Lake Villa township,41599,Lake County,County,None
17,21,Buckhart township,9239,Christian County,County,None
17,21,Greenwood township,31641,Christian County,County,None
17,129,Athens North No. 2 precinct,90256,Menard County,County,None
17,129,Athens South No. 1 precinct,90262,Menard County,County,None
17,97,Libertyville township,43263,Lake County,County,None
17,97,Newport township,52753,Lake County,County,None
17,55,Browning township,8940,Franklin County,County,None
17,27,Wade township,78344,Clinton County,County,None
17,27,Wheatfield township,80996,Clinton County,County,None
17,27,Germantown township,29054,Clinton County,County,None
17,27,Looking Glass township,44667,Clinton County,County,None
17,61,Carrollton township,11475,Greene County,County,None
17,61,Patterson township,58096,Greene County,County,None
17,61,Woodville township,83401,Greene County,County,None
17,47,Dixon precinct,90954,Edwards County,County,None
17,47,Shelby No. 1 precinct,93153,Edwards County,County,None
17,135,Hillsboro township,35060,Montgomery County,County,None
17,135,Pitman township,60183,Montgomery County,County,None
17,135,South Litchfield township,70928,Montgomery County,County,None
