STATEFP,COUNTYFP,NAMELSAD,COUSUBFP,Place Name,Place Type
17,097,Grant township,30952,Lake County,County
17,083,Ruyle township,66482,Jersey County,County
17,093,Kendall township,39454,Kendall County,County
17,093,Oswego township,56900,Kendall County,County
17,027,Breese township,07926,Clinton County,County
17,027,Brookside township,08732,Clinton County,County
17,027,East Fork township,21748,Clinton County,County
17,027,Irishtown township,37673,Clinton County,County
17,091,Salina township,67262,Kankakee County,County
17,091,Yellowhead township,83856,Kankakee County,County
17,135,Grisham township,31836,Montgomery County,County
17,135,Harvel township,33370,Montgomery County,County
17,021,Assumption township,02622,Christian County,County
17,021,Bear Creek township,04325,Christian County,County
17,097,Lake Villa township,41599,Lake County,County
17,021,Buckhart township,09239,Christian County,County
17,021,Greenwood township,31641,Christian County,County
17,129,Athens North No. 2 precinct,90256,Menard County,County
17,129,Athens South No. 1 precinct,90262,Menard County,County
17,097,Libertyville township,43263,Lake County,County
17,097,Newport township,52753,Lake County,County
17,055,Browning township,08940,Franklin County,County
17,027,Wade township,78344,Clinton County,County
17,027,Wheatfield township,80996,Clinton County,County
17,027,Germantown township,29054,Clinton County,County
17,027,Looking Glass township,44667,Clinton County,County
17,061,Carrollton township,11475,Greene County,County
17,061,Patterson township,58096,Greene County,County
17,061,Woodville township,83401,Greene County,County
17,047,Dixon precinct,90954,Edwards County,County
17,047,Shelby No. 1 precinct,93153,Edwards County,County
17,135,Hillsboro township,35060,Montgomery County,County
17,135,Pitman township,60183,Montgomery County,County
17,135,South Litchfield township,70928,Montgomery County,County
17,135,Walshville township,78669,Montgomery County,County
17,097,Benton township,05326,Lake County,County
17,097,Ela township,22853,Lake County,County
17,021,Johnson township,38492,Christian County,County
17,021,Mosquito township,50686,Christian County,County
17,021,Pana township,57485,Christian County,County
17,021,Prairieton township,61730,Christian County,County
17,021,Ricks township,63797,Christian County,County
17,129,Atterberry No. 10 precinct,90270,Menard County,County
17,107,Atlanta township,02765,Logan County,County
17,107,Broadwell township,08485,Logan County,County
17,011,Arispie township,02076,Bureau County,County
17,011,Berlin township,05430,Bureau County,County
17,011,Bureau township,09668,Bureau County,County
17,011,Clarion township,14598,Bureau County,County
17,135,Witt township,82738,Montgomery County,County
17,135,Zanesville township,84129,Montgomery County,County
17,135,Bois D'Arc township,07107,Montgomery County,County
17,135,Irving township,37751,Montgomery County,County
17,135,Rountree township,66092,Montgomery County,County
17,151,Eddyville No. 6 precinct,91116,Pope County,County
17,065,Beaver Creek township,04481,Hamilton County,County
17,145,Du Quoin No. 3 precinct,91012,Perry County,County
17,145,Du Quoin No. 4 precinct,91013,Perry County,County
17,145,Du Quoin No. 5 precinct,91014,Perry County,County
17,145,Du Quoin No. 6 precinct,91015,Perry County,County
17,053,Drummer township,20799,Ford County,County
17,107,Chester township,13126,Logan County,County
17,107,Corwin township,16496,Logan County,County
17,107,Eminence township,24049,Logan County,County
17,107,Laenna township,40624,Logan County,County
17,021,Rosamond township,65598,Christian County,County
17,021,South Fork township,70798,Christian County,County
17,021,Taylorville township,74587,Christian County,County
17,021,King township,39948,Christian County,County
17,129,Petersburg East No. 13 precinct,92433,Menard County,County
17,129,Petersburg North No. 14 precinct,92436,Menard County,County
17,203,Cazenovia township,11878,Woodford County,County
17,011,Concord township,16028,Bureau County,County
17,011,Dover township,20539,Bureau County,County
17,011,Greenville township,31602,Bureau County,County
17,129,Petersburg South No. 15 precinct,92439,Menard County,County
17,129,Rock Creek No. 12 precinct,93024,Menard County,County
17,119,Alton township,01127,Madison County,County
17,119,Edwardsville township,22710,Madison County,County
17,119,Granite City township,30939,Madison County,County
17,119,Jarvis township,38245,Madison County,County
17,151,Golconda No. 1 precinct,91386,Pope County,County
17,151,Golconda No. 3 precinct,91422,Pope County,County
17,151,Webster No. 5 precinct,93654,Pope County,County
17,203,Greene township,31355,Woodford County,County
17,203,Linn township,43835,Woodford County,County
17,203,Metamora township,48619,Woodford County,County
17,203,Minonk township,49581,Woodford County,County
17,203,Montgomery township,50231,Woodford County,County
17,203,Olio township,55821,Woodford County,County
17,145,Pinckneyville No. 3 precinct,92470,Perry County,County
17,145,Du Quoin No. 7 precinct,91016,Perry County,County
17,065,McLeansboro township,45837,Hamilton County,County
17,065,South Crouch township,70655,Hamilton County,County
17,145,Du Quoin No. 9 precinct,91018,Perry County,County
17,145,Du Quoin No. 10 precinct,91019,Perry County,County
17,145,Du Quoin No. 11 precinct,91020,Perry County,County
17,067,Appanoose township,01621,Hancock County,County
17,047,Albion No. 1 precinct,90039,Edwards County,County
17,047,Albion No. 2 precinct,90041,Edwards County,County
17,047,Albion No. 3 precinct,90044,Edwards County,County
17,107,Lake Fork township,41144,Logan County,County
17,107,Mount Pulaski township,51141,Logan County,County
17,107,Sheridan township,69290,Logan County,County
17,011,Indiantown township,37413,Bureau County,County
17,011,La Moille township,41807,Bureau County,County
17,011,Leepertown township,42665,Bureau County,County
17,011,Milo township,49438,Bureau County,County
17,067,Augusta township,02999,Hancock County,County
17,067,Chili township,14104,Hancock County,County
17,145,Du Quoin No. 1 precinct,91010,Perry County,County
17,145,Swanwick precinct,93348,Perry County,County
17,145,Willisville precinct,93762,Perry County,County
17,145,Du Quoin No. 12 precinct,91021,Perry County,County
17,011,Princeton township,61912,Bureau County,County
17,065,South Twigg township,71305,Hamilton County,County
17,065,Twigg township,76472,Hamilton County,County
17,145,Pinckneyville No. 1 precinct,92468,Perry County,County
17,145,Pinckneyville No. 2 precinct,92469,Perry County,County
17,089,Plato township,60365,Kane County,County
17,089,Rutland township,66430,Kane County,County
17,089,Sugar Grove township,73404,Kane County,County
17,089,Virgil township,78188,Kane County,County
17,011,Mineral township,49529,Bureau County,County
17,011,Neponset township,52012,Bureau County,County
17,011,Ohio township,55392,Bureau County,County
17,011,Selby township,68562,Bureau County,County
17,139,Dora township,20344,Moultrie County,County
17,145,Pinckneyville No. 4 precinct,92471,Perry County,County
17,145,Pinckneyville No. 5 precinct,92472,Perry County,County
17,145,Pinckneyville No. 6 precinct,92473,Perry County,County
17,145,Pinckneyville No. 7 precinct,92474,Perry County,County
17,139,East Nelson township,22099,Moultrie County,County
17,139,Jonathan Creek township,38609,Moultrie County,County
17,011,Walnut township,78539,Bureau County,County
17,011,Westfield township,80268,Bureau County,County
17,011,Wheatland township,81009,Bureau County,County
17,011,Wyanet township,83635,Bureau County,County
17,135,Audubon township,02960,Montgomery County,County
17,135,East Fork township,21761,Montgomery County,County
17,145,Tamaroa No. 2 precinct,93386,Perry County,County
17,177,Ridott township,64057,Stephenson County,County
17,071,Biggsville township,05911,Henderson County,County
17,071,Raritan township,62861,Henderson County,County
17,143,Hallock township,32304,Peoria County,County
17,107,East Lincoln township,21982,Logan County,County
17,107,Hurlbut township,36789,Logan County,County
17,107,Oran township,56289,Logan County,County
17,127,Georges Creek precinct,91332,Massac County,County
17,111,Algonquin township,00698,McHenry County,County
17,109,Lamoine township,41820,McDonough County,County
17,109,Mound township,50738,McDonough County,County
17,109,New Salem township,52792,McDonough County,County
17,149,Atlas township,02791,Pike County,County
17,149,Barry township,03974,Pike County,County
17,109,Prairie City township,61561,McDonough County,County
