NAMELSAD
Buena Vista township
Woodstock township
Columbus township
Concord township
Unity township
Granville township
Hennepin township
Fall Creek township
Honey Creek township
Randolph township
Towanda township
West township
White Oak township
Yates township
Andalusia township
Blackhawk township
Bowling township
Buffalo Prairie township
Seminary township
South Hurricane township
Vandalia township
Avena township
Bear Grove township
Carson township
Loudon township
Pope township
Canoe Creek township
Coe township
Cordova township
Drury township
Moline township
Port Byron township
Rock Island township
Burgess township
Central township
Lyman township
Bloom township
Chicago city
Elk Grove township
Leyden township
Maine township
Rich township
River Forest township
Stickney township
Worth township
Rural township
South Moline township
South Rock Island township
Magnolia township
Alden township
Senachwine township
Crouch township
Dahlgren township
Flannigan township
Mayberry township
South Flannigan township
Houston township
Hampton township
Zuma township
Jacksonville No. 6 precinct
Jacksonville No. 7 precinct
Jacksonville No. 8 precinct
Jacksonville No. 9 precinct
Jacksonville No. 11 precinct
Jacksonville No. 12 precinct
Keene township
Carthage township
Harmony township
Montebello township
Warsaw township
Fountain Green township
Mills township
Pleasant Mound township
Burnt Prairie township
Gray township
Indian Creek township
Phillips township
Chouteau township
Collinsville township
Foster township
Moro township
Nameoki township
Omphghent township
Saline township
Venice township
Literberry precinct
Jefferson precinct
Liberty township
Melrose township
Payson township
Riverside township
Quincy township
McKee township
Northeast township
Richfield township
Walkerville township
Covington township
Hoyleton township
Venedy township
Waverly No. 2 precinct
Benton precinct
Logan precinct
Metropolis No. 1 precinct
Honey Creek township
Bellmont precinct
Lick Prairie precinct
Westfield township
Carrier Mills township
Mountain township
Stonefort township
Woodson precinct
Ashmore township
East Oakland township
Morgan township
Caseyville township
Fayetteville township
Mascoutah township
O'Fallon township
Smithton township
Sugar Loaf township
Pleasant Grove township
Arcola township
Saratoga township
Goose Lake township
Stites township
Karnak precinct
Pulaski precinct
Wetaug precinct
Cerro Gordo township
Blue Ridge township
Helvetia township
Brouilletts Creek township
America precinct
Mound City precinct
Olmsted precinct
Perks precinct
Ross township
Fairfield township
Buck township
Edgar township
Elbridge township
Embarrass township
Big Mound township
Elm River township
Leech township
Galesburg City township
Grandview township
Hunter township
Paris township
Walnut Grove township
Bald Bluff township
Prairie township
Ross township
Burlington township
Elgin township
Fillmore Consolidated township
Holland township
Oconee township
Lowe township
Licking township
Big Spring township
Cold Spring township
Dry Point township
Flat Branch township
Herrick township
Lakewood township
Belleville city
Moweaqua township
Okaw township
Evanston city
Addison township
Downers Grove township
Naperville township
Winfield township
Shiloh township
Stratton township
Young America township
Chicago city
Bainbridge township
Birmingham township
Coal Valley township
Pittsfield township
Pleasant Hill township
Adams township
Ophir township
Pleasant Vale township
Ross township
Spring Creek township
Precinct 1
Precinct 6
Precinct 10
Richland township
Amboy township
English township
Fidelity township
Bloomingdale township
Forreston township
Brooklyn township
Browning township
Camden township
Frederick township
Hickory township
Huntsville township
Akron township
Brimfield township
Chillicothe township
Elmwood township
Hollis township
Jubilee township
Limestone township
Clayton township
Ellington township
Gilmer township
Lima township
Mendon township
Ursa township
Precinct 37
Precinct 28
Bradford township
Brooklyn township
Harmon township
Lee Center township
Rushville township
Hale township
Spring Grove township
Belleview precinct
Carlin precinct
Crater precinct
Gilead precinct
Hamburg precinct
Du Quoin No. 2 precinct
Beaucoup precinct
Sunfield precinct
Pinckneyville No. 8 precinct
Tamaroa No. 1 precinct
Cutler precinct
Logan township
Millbrook township
Princeville township
Radnor township
Richwoods township
Rosefield township
Timber township
Lisbon township
Vernon township
Mason City township
Percy precinct
Sand Prairie township
Cruger township
Jacksonville No. 10 precinct
Wyoming township
Hardin precinct
Littleton township
Richwood precinct
Lockport township
Wilton township
Channahon township
Crete township
Custer township
Florence township
Frankfort township
Martinsburg township
Trivoli township
West Peoria township
Nachusa township
Chemung township
Osceola township
Carterville precinct
Creal Springs precinct
Herrin precinct
Stonefort precinct
Crab Orchard precinct
Dorr township
Dunham township
Grafton township
Greenwood township
Hebron township
Zif township
Jonesboro District 1 precinct
Levee township
Montezuma township
Clay City township
Nebraska township
Sunbury township
Green Garden township
Homer township
Jackson township
Joliet township
Monee township
New Lenox township
Ash Grove township
Chebanse township
Concord township
Danforth township
Martinton township
Du Quoin No. 8 precinct
Corinth precinct
Southern precinct
Lake Creek precinct
McHenry township
Marengo township
Richmond township
Crooked Creek township
Spring Point township
Riley township
Nunda township
Seneca township
Bible Grove township
Blair township
Oskaloosa township
Pixley township
Sullivan township
Otto township
Songer township
Stanford township
Xenia township
Farmington township
Harris township
Isabel township
Waterford township
Little Mackinaw township
Butler Grove township
Nokomis township
North Litchfield township
Raymond township
Batavia township
Big Rock township
Blackberry township
Campton township
Cottonwood township
Sumpter township
Woodbury township
Greenup township
Alto Pass precinct
Dundee township
Geneva township
Hampshire township
Kaneville township
Centralia township
Romine township
Salem township
Tonti township
Peru township
Serena township
Deerfield township
South Ottawa township
Troy Grove township
Utica township
Wallace township
Waltham township
East Galena township
Pawnee township
Essex township
Ganeer township
Kankakee township
Limestone township
Manteno township
Momence township
Norton township
Brewerville precinct
Kaskaskia precinct
Rockwood precinct
Wine Hill precinct
Bourbon township
Alsey precinct
Bloomfield precinct
Glasgow precinct
Manchester precinct
Bowdre township
Camargo township
Garrett township
Murdock township
Newman township
Sargent township
Tuscola township
Stonington township
Bald Hill township
Blissville township
Casner township
Dodds township
Elk Prairie township
Farrington township
Field township
Grand Prairie township
Merritt precinct
Naples-Bluffs precinct
Winchester No. 1 precinct
Winchester No. 2 precinct
McClellan township
Moores Prairie township
Mount Vernon township
Pendleton township
Rome township
Shiloh township
Spring Garden township
Webber township
Central precinct
Coulterville precinct
Palestine precinct
Steeleville precinct
Tilden precinct
Baldwin precinct
Ellis Grove precinct
Blue Mound township
Decatur township
Winchester No. 3 precinct
El Paso township
Menominee township
Nora township
Friends Creek township
Harristown township
Hickory Point township
Long Creek township
Maroa township
Mount Zion township
Deer Park township
Groveland township
Vermillion township
Pleasant Valley township
Rawlins township
Clear Lake township
Curran township
Gardner township
Brookville township
Rice township
Rush township
Scales Mound township
Niantic township
Oakley township
South Wheatland township
Whitmore township
Thompson township
Wards Grove township
Warren township
West Galena township
Woodbine township
Vinegar Hill township
Union precinct
Eagle Creek township
Equality township
Gold Hill township
North Fork township
Arenzville township
Ashland township
Beardstown township
Omaha township
Ridgway township
Shawnee township
Jacksonville No. 2 precinct
Christy township
Lukin township
Hagener township
Newmansville township
Panther Creek township
Philadelphia township
Virginia township
Pisgah precinct
Buffalo township
Byron township
Dement township
Eagle Point township
Flagg township
Grand Detour township
Lafayette township
Leaf River township
Lincoln township
Lynnville township
Marion township
Maryland township
Monroe township
Mount Morris township
Oregon-Nashua township
Pine Rock township
Alexander precinct
Arcadia precinct
Jacksonville No. 1 precinct
Jacksonville No. 3 precinct
Jacksonville No. 4 precinct
Rockvale township
White Rock township
Woosung township
Allison township
Russell township
Bridgeport township
Shabbona township
Somonauk township
Anna District 1 precinct
Anna District 2 precinct
Anna District 3 precinct
Anna District 6 precinct
Elmira township
Neoga township
Union township
Ayers township
Cache precinct
Locust township
Scott township
Ora township
Afton township
Clinton township
Cortland township
DeKalb township
Hall township
Macon township
Franklin township
Genoa township
Kingston township
Malta township
Mayfield township
Milan township
Paw Paw township
Pierce township
Sandwich township
South Grove township
Sycamore township
Sugar Creek township
Freedom township
Foster township
Waverly No. 1 precinct
Stevenson township
Bloomington township
Bloomington City township
Cheney's Grove township
Empire township
Hudson township
Franklin precinct
Jacksonville No. 5 precinct
Carrigan township
Haines township
Meacham township
Raccoon township
Rocky Run-Wilcox township
Cotton Hill township
Fancy Creek township
Crane Creek township
Kilbourne township
Salt Creek township
Sherman township
Colfax township
Compromise township
Evans township
Condit township
Crittenden township
Ogden township
Pesotum township
Rosiclare precinct
La Prairie township
Richland township
Saratoga township
Philo township
Stanton township
Tolono township
Whitefield township
Iuka township
Amity township
Germanville township
Blandinsville township
Chalmers township
Emmet township
Macomb township
Macomb City township
East Bend township
Harwood township
Kerr township
Mahomet township
Newcomb township
Raymond township
Scotland township
Auburn township
Sadorus township
Scott township
Sidney township
South Homer township
Rock precinct
Illini township
Champaign township
Champaign City township
Cunningham township
Mount Pleasant township
Dillon township
Hopedale township
Hensley township
Ludlow township
Rantoul township
St. Joseph township
Somer township
Urbana township
Bruce township
Freedom township
East Eldorado township
Galatia township
Woodland township
Rutland township
Harrisburg township
Thebes precinct
South Palmyra township
Cahokia township
South Otter township
Chesterfield township
Gillespie township
Dorchester township
Barr township
Smallwood township
Pleasant View township
Lancaster township
Silver Creek township
Independence township
Long Branch township
Raleigh township
Rector township
Tate township
Mount Auburn township
Blairsville precinct
East Marion precinct
Grassy precinct
West Marion precinct
Rozetta township
Elwood township
Galesburg township
Henderson township
Orange township
Greenview No. 6 precinct
Oakford No. 9 precinct
Sandridge No. 8 precinct
Essex township
Goshen township
Aetna township
Elkhart township
Orvil township
Prairie Creek township
West Lincoln township
Grand Chain precinct
Ullin precinct
Villa Ridge precinct
Exeter-Bluffs precinct
May township
Wysox township
Kane township
Rockbridge township
White Hall township
Belknap precinct
Cache precinct
Goreville No. 2 precinct
Tunnel Hill precinct
Erie township
Lyndon township
Penn township
West Jersey township
Blount township
Butler township
Carroll township
Catlin township
Newton township
Portland township
Dongola District 1 precinct
Ashley township
Beaucoup township
Bolo township
Du Bois township
Irvington township
Avoca township
Belle Prairie township
Broughton township
Charlotte township
Chatsworth township
Dwight township
Galva township
Bremen precinct
Chester precinct
Evansville precinct
Prairie du Rocher precinct
Red Bud precinct
Ruma precinct
Sparta precinct
Danville township
Georgetown township
Grant township
Johannisburg township
Lively Grove township
Nashville township
Pilot Knob township
Plum Hill township
LeRoy township
Manchester township
Poplar Grove township
Love township
McKendree township
Middlefork township
Richview township
Eppards Point township
Esmen township
Spring township
Cherry Grove-Shannon township
Fairhaven township
Fayette township
Forrest township
Indian Grove township
Long Point township
Nevada township
Newtown township
Odell township
Mount Carroll township
Casey township
Emma township
Hawthorne township
Mill Shoals township
Rock Creek-Lima township
Salem township
Savanna township
Washington township
York township
Newell township
Oakwood township
Pilot township
Owego township
Pike township
Pleasant Ridge township
Pontiac township
Reading township
Round Grove township
Andover township
Western township
Sidell township
South Ross township
Bowling Green township
Kaskaskia township
Sharon township
Saunemin township
Sullivan township
Union township
Balcom precinct
Cobden District 1 precinct
Cave-In-Rock precinct
McFarlan precinct
Monroe precinct
Cobden District 2 precinct
Dongola District 2 precinct
Vance township
