County,Township,Label,COUSUBFP
Kane County,Hampshire township,,32538
Kane County,Kaneville township,,38908
Marion County,Centralia township,,12177
Marion County,Romine township,,65455
Marion County,Salem township,,67249
Carroll County,Salem township,,67210
Knox County,Salem township,,67223
Marion County,Tonti township,,75744
La Salle County,Peru township,,59247
La Salle County,Serena township,,68692
Fulton County,Deerfield township,,18979
La Salle County,South Ottawa township,,71110
La Salle County,Troy Grove township,,76238
La Salle County,Utica township,,77096
La Salle County,Wallace township,,78487
La Salle County,Waltham township,,78682
Jo Daviess County,East Galena township,,21813
Sangamon County,Pawnee township,,58187
Kankakee County,Essex township,,24465
Stark County,Essex township,,24478
Kankakee County,Ganeer township,,28456
Kankakee County,Kankakee township,,38947
Peoria County,Limestone township,,43523
Kankakee County,Limestone township,,43497
Kankakee County,Manteno township,,46513
Kankakee County,Momence township,,49906
Kankakee County,Norton township,,54352
Randolph County,Brewerville precinct,,90522
Randolph County,Kaskaskia precinct,,91818
Randolph County,Rockwood precinct,,93042
Randolph County,Wine Hill precinct,,93834
Douglas County,Bourbon township,,07458
Scott County,Alsey precinct,,90072
Scott County,Bloomfield precinct,,90468
Johnson County,Bloomfield precinct,,90450
Scott County,Glasgow precinct,,91368
Scott County,Manchester precinct,,92016
Douglas County,Bowdre township,,07497
Douglas County,Camargo township,,10604
Douglas County,Garrett township,,28755
Douglas County,Murdock township,,51427
Douglas County,Newman township,,52636
Douglas County,Sargent township,,67730
Douglas County,Tuscola township,,76420
Christian County,Stonington township,,72962
Jefferson County,Bald Hill township,,03428
Jefferson County,Blissville township,,06496
Jefferson County,Casner township,,11670
Jefferson County,Dodds township,,20227
Jefferson County,Elk Prairie township,,23334
Jefferson County,Farrington township,,25648
Jefferson County,Field township,,25986
Jefferson County,Grand Prairie township,,30731
Scott County,Merritt precinct,,92052
Scott County,Naples-Bluffs precinct,,92250
Scott County,Winchester No. 1 precinct,,93780
Scott County,Winchester No. 2 precinct,,93798
Jefferson County,McClellan township,,45512
Jefferson County,Moores Prairie township,,50348
Jefferson County,Mount Vernon township,,51193
Jefferson County,Pendleton township,,58564
Jefferson County,Rome township,,65377
Edgar County,Shiloh township,,69498
Jefferson County,Shiloh township,,69511
Jefferson County,Spring Garden township,,72039
Jefferson County,Webber township,,79514
Randolph County,Central precinct,,90702
Randolph County,Coulterville precinct,,90864
Randolph County,Palestine precinct,,92358
Randolph County,Steeleville precinct,,93240
Randolph County,Tilden precinct,,93438
Randolph County,Baldwin precinct,,90306
Randolph County,Ellis Grove precinct,,91170
McLean County,Blue Mound township,,06743
Macon County,Blue Mound township,,06769
Macon County,Decatur township,,18836
Scott County,Winchester No. 3 precinct,,93816
Woodford County,El Paso township,,23750
Jo Daviess County,Menominee township,,48372
Jo Daviess County,Nora township,,53208
Macon County,Friends Creek township,,27988
Macon County,Harristown township,,33240
Macon County,Hickory Point township,,34527
Macon County,Long Creek township,,44511
Macon County,Maroa township,,47085
Macon County,Mount Zion township,,51219
La Salle County,Deer Park township,,19096
La Salle County,Groveland township,,31914
Tazewell County,Groveland township,,31940
La Salle County,Vermillion township,,77623
Jo Daviess County,Pleasant Valley township,,60664
Jo Daviess County,Rawlins township,,62926
Sangamon County,Clear Lake township,,14858
Sangamon County,Curran township,,18160
Sangamon County,Gardner township,,28651
Ogle County,Brookville township,,08784
Jo Daviess County,Rice township,,63472
Jo Daviess County,Rush township,,66326
Jo Daviess County,Scales Mound township,,67938
Macon County,Niantic township,,52974
Macon County,Oakley township,,54859
Macon County,South Wheatland township,,71357
Macon County,Whitmore township,,81464
Jo Daviess County,Thompson township,,75146
Jo Daviess County,Wards Grove township,,78799
Jo Daviess County,Warren township,,78864
Lake County,Warren township,,78877
Jo Daviess County,West Galena township,,80359
Jo Daviess County,Woodbine township,,82907
Jo Daviess County,Vinegar Hill township,,78084
Union County,Union precinct,,93484
Gallatin County,Eagle Creek township,,21449
Gallatin County,Equality township,,24361
Gallatin County,Gold Hill township,,30302
Gallatin County,North Fork township,,53702
Cass County,Arenzville township,,01959
Cass County,Ashland township,,02518
Cass County,Beardstown township,,04364
Gallatin County,Omaha township,,56016
Gallatin County,Ridgway township,,64031
Gallatin County,Shawnee township,,69069
Morgan County,Jacksonville No. 2 precinct,,91712
Lawrence County,Christy township,,14299
Lawrence County,Lukin township,,45200
Cass County,Hagener township,,32148
Cass County,Newmansville township,,52662
Cass County,Panther Creek township,,57550
Cass County,Philadelphia township,,59481
Cass County,Virginia township,,78214
Morgan County,Pisgah precinct,,92484
Ogle County,Buffalo township,,09421
Ogle County,Byron township,,10253
Ogle County,Dement township,,19382
Ogle County,Eagle Point township,,21501
Ogle County,Flagg township,,26298
Ogle County,Grand Detour township,,30718
Coles County,Lafayette township,,40637
Ogle County,Lafayette township,,40650
Ogle County,Leaf River township,,42470
Ogle County,Lincoln township,,43549
Ogle County,Lynnville township,,45382
Ogle County,Marion township,,46903
Lee County,Marion township,,46890
Ogle County,Maryland township,,47358
Ogle County,Monroe township,,50049
Ogle County,Mount Morris township,,51011
Ogle County,Oregon-Nashua township,,56504
Ogle County,Pine Rock township,,59975
Morgan County,Alexander precinct,,90054
Morgan County,Arcadia precinct,,90234
Morgan County,Jacksonville No. 1 precinct,,91711
Morgan County,Jacksonville No. 3 precinct,,91713
Morgan County,Jacksonville No. 4 precinct,,91714
Ogle County,Rockvale township,,65182
Ogle County,White Rock township,,81399
Ogle County,Woosung township,,83492
Lawrence County,Allison township,,00906
Lawrence County,Russell township,,66378
Lawrence County,Bridgeport township,,08199
DeKalb County,Shabbona township,,68835
DeKalb County,Somonauk township,,70473
Union County,Anna District 1 precinct,,90126
Union County,Anna District 2 precinct,,90144
Union County,Anna District 3 precinct,,90162
Union County,Anna District 6 precinct,,90216
Stark County,Elmira township,,23646
Cumberland County,Neoga township,,51993
Effingham County,Union township,,76654
Cumberland County,Union township,,76641
Livingston County,Union township,,76680
Fulton County,Union township,,76667
Champaign County,Ayers township,,03246
Alexander County,Cache precinct,,90576
Johnson County,Cache precinct,,90594
Christian County,Locust township,,44251
Ogle County,Scott township,,68302
Champaign County,Scott township,,68289
Jackson County,Ora township,,56276
DeKalb County,Afton township,,00386
DeKalb County,Clinton township,,14988
DeKalb County,Cortland township,,16483
DeKalb County,DeKalb township,,19174
Bureau County,Hall township,,32265
Bureau County,Macon township,,45928
DeKalb County,Franklin township,,27650
DeKalb County,Genoa township,,28911
DeKalb County,Kingston township,,40078
DeKalb County,Malta township,,46292
DeKalb County,Mayfield township,,47696
DeKalb County,Milan township,,48983
DeKalb County,Paw Paw township,,58200
DeKalb County,Pierce township,,59676
DeKalb County,Sandwich township,,67561
DeKalb County,South Grove township,,70837
DeKalb County,Sycamore township,,74236
Clinton County,Sugar Creek township,,73365
Carroll County,Freedom township,,27832
La Salle County,Freedom township,,27845
Madison County,Foster township,,27182
Marion County,Foster township,,27195
Morgan County,Waverly No. 1 precinct,,93640
Marion County,Stevenson township,,72598
McLean County,Bloomington township,,06626
McLean County,Bloomington City township,,06639
McLean County,Cheney's Grove township,,12905
McLean County,Empire township,,24140
McLean County,Hudson township,,36451
Morgan County,Franklin precinct,,91278
Massac County,Franklin precinct,,91260
Morgan County,Jacksonville No. 5 precinct,,91715
Marion County,Carrigan township,,11436
Marion County,Haines township,,32187
Marion County,Meacham township,,47826
Marion County,Raccoon township,,62445
Hancock County,Rocky Run-Wilcox township,,65240
Sangamon County,Cotton Hill township,,16574
Sangamon County,Fancy Creek township,,25323
Mason County,Crane Creek township,,17250
Mason County,Kilbourne township,,39870
Mason County,Salt Creek township,,67353
Mason County,Sherman township,,69329
Champaign County,Colfax township,,15482
Champaign County,Compromise township,,15976
Marshall County,Evans township,,24569
Champaign County,Condit township,,16080
Champaign County,Crittenden township,,17588
Champaign County,Ogden township,,55288
Champaign County,Pesotum township,,59286
Hardin County,Rosiclare precinct,,93050
Marshall County,La Prairie township,,42093
Shelby County,Richland township,,63615
La Salle County,Richland township,,63576
Marshall County,Richland township,,63589
Grundy County,Saratoga township,,67678
Marshall County,Saratoga township,,67691
Champaign County,Philo township,,59546
Champaign County,Stanton township,,72273
Champaign County,Tolono township,,75627
Marshall County,Whitefield township,,81230
Marion County,Iuka township,,37946
Livingston County,Amity township,,01348
Livingston County,Germanville township,,29106
McDonough County,Blandinsville township,,06483
McDonough County,Chalmers township,,12333
McDonough County,Emmet township,,24101
McDonough County,Macomb township,,45902
McDonough County,Macomb City township,,45915
Champaign County,East Bend township,,21566
Champaign County,Harwood township,,33422
Champaign County,Kerr township,,39688
Champaign County,Mahomet township,,46149
Champaign County,Newcomb township,,52376
Montgomery County,Raymond township,,62978
Champaign County,Raymond township,,62952
McDonough County,Scotland township,,68250
Sangamon County,Auburn township,,02928
Clark County,Auburn township,,02908
Champaign County,Sadorus township,,66547
Ogle County,Scott township,,68302
Champaign County,Scott township,,68289
Champaign County,Sidney township,,69888
Champaign County,South Homer township,,70863
Hardin County,Rock precinct,,92995
Macon County,Illini township,,37023
Champaign County,Champaign township,,12398
Champaign County,Champaign City township,,12411
Champaign County,Cunningham township,,18121
Whiteside County,Mount Pleasant township,,51076
Tazewell County,Dillon township,,19941
Tazewell County,Hopedale township,,36139
Champaign County,Hensley township,,34189
Champaign County,Ludlow township,,45187
Champaign County,Rantoul township,,62796
Champaign County,St. Joseph township,,66963
Champaign County,Somer township,,70382
Champaign County,Urbana township,,77018
La Salle County,Bruce township,,09057
Carroll County,Freedom township,,27832
La Salle County,Freedom township,,27845
Saline County,East Eldorado township,,21709
Saline County,Galatia township,,28274
Carroll County,Woodland township,,83076
Fulton County,Woodland township,,83089
Kane County,Rutland township,,66430
La Salle County,Rutland township,,66456
Saline County,Harrisburg township,,33149
Alexander County,Thebes precinct,,93420
Macoupin County,South Palmyra township,,71136
Macoupin County,Cahokia township,,10357
Macoupin County,South Otter township,,71123
Macoupin County,Chesterfield township,,13178
Macoupin County,Gillespie township,,29249
Macoupin County,Dorchester township,,20383
Macoupin County,Barr township,,03792
Jasper County,Smallwood township,,70200
Macon County,Pleasant View township,,60677
Stephenson County,Lancaster township,,41885
Stephenson County,Silver Creek township,,69953
Saline County,Independence township,,37205
Saline County,Long Branch township,,44485
Saline County,Raleigh township,,62601
Saline County,Rector township,,63030
Saline County,Tate township,,74509
Christian County,Mount Auburn township,,50842
Williamson County,Blairsville precinct,,90432
Williamson County,East Marion precinct,,91062
Williamson County,Grassy precinct,,91548
Williamson County,West Marion precinct,,93690
Henderson County,Rozetta township,,66222
Vermilion County,Elwood township,,23932
Knox County,Galesburg township,,28339
Knox County,Henderson township,,34020
Knox County,Orange township,,56315
Clark County,Orange township,,56302
Menard County,Greenview No. 6 precinct,,91566
Menard County,Oakford No. 9 precinct,,92286
Menard County,Sandridge No. 8 precinct,,93096
Kankakee County,Essex township,,24465
Stark County,Essex township,,24478
Stark County,Goshen township,,30627
Logan County,Aetna township,,00360
Logan County,Elkhart township,,23282
Logan County,Orvil township,,56705
Logan County,Prairie Creek township,,61574
Logan County,West Lincoln township,,80593
Pulaski County,Grand Chain precinct,,91476
Pulaski County,Ullin precinct,,93474
Pulaski County,Villa Ridge precinct,,93564
Scott County,Exeter-Bluffs precinct,,91224
Christian County,May township,,47631
Lee County,May township,,47644
Carroll County,Wysox township,,83700
Greene County,Kane township,,38882
Greene County,Rockbridge township,,64824
Greene County,White Hall township,,81269
Johnson County,Belknap precinct,,90346
Alexander County,Cache precinct,,90576
Johnson County,Cache precinct,,90594
Johnson County,Goreville No. 2 precinct,,91458
Johnson County,Tunnel Hill precinct,,93456
Whiteside County,Erie township,,24387
Whiteside County,Lyndon township,,45291
Shelby County,Penn township,,58590
Stark County,Penn township,,58603
Stark County,West Jersey township,,80489
Vermilion County,Blount township,,06678
Vermilion County,Butler township,,10162
Vermilion County,Carroll township,,11449
Vermilion County,Catlin township,,11787
Whiteside County,Newton township,,52857
Whiteside County,Portland township,,61262
Union County,Dongola District 1 precinct,,90972
Washington County,Ashley township,,02544
Washington County,Beaucoup township,,04442
Washington County,Bolo township,,07172
Washington County,Du Bois township,,20877
Washington County,Irvington township,,37790
Livingston County,Avoca township,,03194
Livingston County,Belle Prairie township,,04780
Livingston County,Broughton township,,08888
Livingston County,Charlotte township,,12606
Livingston County,Chatsworth township,,12723
Livingston County,Dwight township,,21371
Henry County,Galva township,,28443
Randolph County,Bremen precinct,,90504
Randolph County,Chester precinct,,90738
Randolph County,Evansville precinct,,91206
Randolph County,Prairie du Rocher precinct,,92520
Randolph County,Red Bud precinct,,92970
Randolph County,Ruma precinct,,93060
Randolph County,Sparta precinct,,93222
Vermilion County,Danville township,,18576
Vermilion County,Georgetown township,,28976
Lake County,Grant township,,30952
Vermilion County,Grant township,,30965
Washington County,Johannisburg township,,38453
Washington County,Lively Grove township,,44108
Washington County,Nashville township,,51713
Washington County,Pilot Knob township,,59858
Washington County,Plum Hill township,,60807
Boone County,LeRoy township,,42951
Boone County,Manchester township,,46318
Boone County,Poplar Grove township,,61158
Vermilion County,Love township,,44953
Vermilion County,McKendree township,,45772
Vermilion County,Middlefork township,,48775
Washington County,Richview township,,63732
Livingston County,Eppards Point township,,24309
Livingston County,Esmen township,,24426
Boone County,Spring township,,71578
Carroll County,Cherry Grove-Shannon township,,12996
Carroll County,Fairhaven township,,24881
Livingston County,Fayette township,,25700
Livingston County,Forrest township,,27039
Livingston County,Indian Grove township,,37244
Livingston County,Long Point township,,44589
Livingston County,Nevada township,,52077
Livingston County,Newtown township,,52883
Livingston County,Odell township,,55184
Carroll County,Mount Carroll township,,50894
Clark County,Casey township,,11631
White County,Emma township,,24088
White County,Hawthorne township,,33591
White County,Mill Shoals township,,49360
Carroll County,Rock Creek-Lima township,,64892
Marion County,Salem township,,67249
Carroll County,Salem township,,67210
Knox County,Salem township,,67223
Carroll County,Savanna township,,67834
Carroll County,Washington township,,79020
Will County,Washington township,,79059
Tazewell County,Washington township,,79046
Clark County,York township,,83934
DuPage County,York township,,83947
Carroll County,York township,,83908
Vermilion County,Newell township,,52454
Vermilion County,Oakwood township,,55015
Vermilion County,Pilot township,,59832
Kankakee County,Pilot township,,59819
Livingston County,Owego township,,57056
Livingston County,Pike township,,59780
Livingston County,Pleasant Ridge township,,60612
Livingston County,Pontiac township,,61028
Livingston County,Reading township,,63017
Livingston County,Round Grove township,,65988
Henry County,Andover township,,01504
Henry County,Western township,,80190
Vermilion County,Sidell township,,69849
Vermilion County,South Ross township,,71227
Fayette County,Bowling Green township,,07562
Fayette County,Kaskaskia township,,39116
Fayette County,Sharon township,,69017
Livingston County,Saunemin township,,67808
Moultrie County,Sullivan township,,73508
Livingston County,Sullivan township,,73482
Effingham County,Union township,,76654
Cumberland County,Union township,,76641
Livingston County,Union township,,76680
Fulton County,Union township,,76667
Union County,Balcom precinct,,90288
Union County,Cobden District 1 precinct,,90756
Hardin County,Cave-In-Rock precinct,,90666
Hardin County,McFarlan precinct,,91998
Hardin County,Monroe precinct,,92170
Union County,Cobden District 2 precinct,,90774
Union County,Dongola District 2 precinct,,90990
Vermilion County,Vance township,,77304
Knox County,Cedar township,,11891
Knox County,Chestnut township,,13217
Knox County,Copley township,,16275
Knox County,Elba township,,22879
Knox County,Haw Creek township,,33552
Knox County,Indian Point township,,37361
Knox County,Knox township,,40403
Knox County,Maquon township,,46708
Saline County,Brushy township,,09122
Saline County,Cottage township,,16535
Macon County,South Macon township,,70967
Hardin County,Stone Church precinct,,93276
Knox County,Ontario township,,56172
Knox County,Persifer township,,59221
Knox County,Rio township,,64161
Marion County,Salem township,,67249
Carroll County,Salem township,,67210
Knox County,Salem township,,67223
Knox County,Sparta township,,71435
Jackson County,Bradley township,,07731
Union County,Lick Creek precinct,,91872
Union County,Mill Creek precinct,,92142
Union County,Stokes precinct,,93258
Boone County,Belvidere township,,05105
Clinton County,Clement township,,14884
Boone County,Bonus township,,07302
Boone County,Boone township,,07328
Boone County,Caledonia township,,10435
Vermilion County,Jamaica township,,38180
McDonough County,Bethel township,,05638
Knox County,Truro township,,76303
Knox County,Victoria township,,77824
White County,Carmi township,,11306
Jersey County,Elsah township,,23789
Jackson County,De Soto township,,19629
Jackson County,Fountain Bluff township,,27260
Jackson County,Kinkaid township,,40104
McDonough County,Bushnell township,,10123
McDonough County,Colchester township,,15391
McDonough County,Eldorado township,,22996
Mason County,Lynchburg township,,45265
McDonough County,Hire township,,35333
McDonough County,Industry township,,37452
Menard County,Sugar Grove No. 5 precinct,,93312
Champaign County,Brown township,,08914
Bond County,Lagrange township,,40741
Bond County,Old Ripley township,,55730
Bond County,Tamalco township,,74418
Henry County,Alba township,,00503
Henry County,Annawan township,,01582
Henry County,Atkinson township,,02739
Henry County,Burns township,,09824
Henry County,Clover township,,15040
Henry County,Colona township,,15677
Henry County,Cornwall township,,16444
Henry County,Edford township,,22476
Henry County,Geneseo township,,28859
Henry County,Hanna township,,32642
Henry County,Kewanee township,,39740
Henry County,Loraine township,,44732
De Witt County,Clintonia township,,15014
De Witt County,Creek township,,17302
Edwards County,Shelby No. 2 precinct,,93156
De Witt County,Harp township,,33058
Henry County,Lynn township,,45304
Knox County,Lynn township,,45330
Henry County,Munson township,,51388
Henry County,Osco township,,56809
Henry County,Oxford township,,57108
Henry County,Phenix township,,59462
Henry County,Weller township,,79722
Henry County,Wethersfield township,,80983
Henry County,Yorktown township,,84012
Will County,Plainfield township,,60300
Will County,Reed township,,63108
Will County,Troy township,,76212
Carroll County,Washington township,,79020
Will County,Washington township,,79059
Tazewell County,Washington township,,79046
Will County,Wesley township,,79865
Hancock County,Dallas City township,,18433
Hancock County,Nauvoo township,,51804
De Witt County,Texas township,,74769
De Witt County,Tunbridge township,,76342
De Witt County,Wapella township,,78786
Hancock County,Pilot Grove township,,59845
Hancock County,Pontoosuc township,,61093
Brown County,Cooperstown township,,16262
De Witt County,Wilson township,,82140
Jo Daviess County,Stockton township,,72793
Clinton County,Carlyle township,,11241
Clinton County,Lake township,,40871
Iroquois County,Ash Grove township,,02453
Shelby County,Ash Grove township,,02466
Peoria County,Kickapoo township,,39818
Peoria County,Medina township,,48099
Alexander County,Cairo precinct,,90612
Alexander County,Tamms precinct,,93402
DeKalb County,Squaw Grove township,,72182
Macon County,Austin township,,03051
Bureau County,Wheatland township,,81009
Will County,Wheatland township,,81035
Fayette County,Wheatland township,,81022
Will County,Wilmington township,,82114
Coles County,Charleston township,,12580
Coles County,Hutton township,,36880
Massac County,Adkins precinct,,90018
Massac County,East Brooklyn precinct,,91026
Marshall County,Bennington township,,05235
Grundy County,Aux Sable township,,03090
Shelby County,Pickaway township,,59663
Lake County,Benton township,,05326
Franklin County,Benton township,,05313
Franklin County,Denning township,,19421
Franklin County,Tyrone township,,76576
Massac County,Grant precinct,,91494
Massac County,Hillerman precinct,,91638
Richland County,German township,,29028
Richland County,Madison township,,46006
Richland County,Preston township,,61847
Winnebago County,Seward township,,68783
Kendall County,Seward township,,68757
Union County,Anna District 5 precinct,,90198
Winnebago County,Shirland township,,69615
Marshall County,Hopewell township,,36152
Grundy County,Braceville township,,07653
Grundy County,Erienna township,,24400
Grundy County,Felix township,,25778
Grundy County,Garfield township,,28677
Shelby County,Windsor township,,82335
Massac County,Jackson precinct,,91692
Massac County,Metropolis No. 2 precinct,,92088
Massac County,Metropolis No. 3 precinct,,92106
Massac County,West Brooklyn precinct,,93672
Boone County,Flora township,,26441
Wayne County,Barnhill township,,03753
Hancock County,Rock Creek township,,64876
Hancock County,St. Mary township,,67054
Grundy County,Goodfarm township,,30432
Grundy County,Greenfield township,,31381
Grundy County,Highland township,,34657
Cook County,Maine township,,46162
Grundy County,Maine township,,46175
Marshall County,Henry township,,34176
Wayne County,Bedford township,,04559
Wayne County,Berry township,,05521
Grundy County,Mazon township,,47800
Morgan County,Franklin precinct,,91278
Massac County,Franklin precinct,,91260
Menard County,Indian Creek No. 7 precinct,,91656
Hancock County,Sonora township,,70499
Crawford County,Hutsonville township,,36854
Crawford County,Lamotte township,,41833
Woodford County,Montgomery township,,50231
Crawford County,Montgomery township,,50205
Crawford County,Robinson township,,64720
Crawford County,Southwest township,,71344
Grundy County,Wauponsee township,,79345
Grundy County,Morris township,,50504
Grundy County,Nettle Creek township,,52038
Wayne County,Four Mile township,,27364
Wayne County,Garden Hill township,,28534
Wayne County,Grover township,,31953
Wayne County,Hickory Hill township,,34501
Grundy County,Norman township,,53286
Grundy County,Vienna township,,77850
Wayne County,Indian Prairie township,,37387
Marshall County,Steuben township,,72585
Greene County,Athensville township,,02700
Wayne County,Jasper township,,38258
Wayne County,Keith township,,39285
Greene County,Bluffdale township,,06860
Greene County,Linder township,,43809
Menard County,Irish Grove No. 4 precinct,,91674
Wayne County,Lamard township,,41755
Wayne County,Massilon township,,47501
Menard County,Petersburg West No. 16 precinct,,92441
Massac County,Lincoln precinct,,91908
Mercer County,Eliza township,,23152
Woodford County,Greene township,,31355
Mercer County,Greene township,,31342
Woodford County,Palestine township,,57290
Woodford County,Panola township,,57537
Woodford County,Partridge township,,58018
Woodford County,Spring Bay township,,71611
Cook County,Worth township,,83531
Woodford County,Worth township,,83544
St. Clair County,St. Clair township,,66729
Wayne County,Mount Erie township,,50946
Wayne County,Orchard township,,56367
Wayne County,Orel township,,56510
Woodford County,Roanoke township,,64603
Wayne County,Arrington township,,02297
Calhoun County,Point precinct,,92502
Clinton County,Meridian township,,48476
Stark County,Valley township,,77174
Bureau County,Gold township,,30146
Stephenson County,Freeport township,,27897
Stephenson County,Winslow township,,82556
Lawrence County,Bond township,,07198
Lawrence County,Denison township,,19395
Lawrence County,Lawrence township,,42379
Lawrence County,Petty township,,59377
Stephenson County,Buckeye township,,09226
Stephenson County,Loran township,,44758
Fulton County,Astoria township,,02648
Effingham County,Banner township,,03558
Fulton County,Banner township,,03584
Fulton County,Bernadotte township,,05469
Fulton County,Buckheart township,,09265
Lee County,Ashton township,,02596
Stephenson County,Rock Run township,,65143
Fulton County,Canton township,,11020
Fulton County,Ellisville township,,23542
Fulton County,Fairview township,,25076
Fulton County,Farmers township,,25427
Fulton County,Joshua township,,38713
Lee County,Franklin Grove township,,27695
Lee County,Dixon township,,20175
Lee County,East Grove township,,21865
Lee County,Hamilton township,,32447
Ogle County,Marion township,,46903
Lee County,Marion township,,46890
Christian County,May township,,47631
Lee County,May township,,47644
Madison County,Godfrey village,,30094
Lee County,Nelson township,,51960
Lee County,Palmyra township,,57316
Lee County,South Dixon township,,70694
Lee County,Sublette township,,73300
Lee County,Viola township,,78110
Lee County,Willow Creek township,,81971
Will County,Will township,,81711
Winnebago County,Seward township,,68783
Kendall County,Seward township,,68757
Will County,Peotone township,,59065
Gallatin County,Bowlesville township,,07536
Winnebago County,Roscoe township,,65624
Winnebago County,Burritt township,,09915
Winnebago County,Cherry Valley township,,13087
Wabash County,Coffee precinct,,90792
Wabash County,Lancaster precinct,,91854
Winnebago County,Durand township,,21293
Winnebago County,Harlem township,,32928
Stephenson County,Harlem township,,32902
Winnebago County,Harrison township,,33188
Winnebago County,Laona township,,42054
Winnebago County,Owen township,,57069
Winnebago County,Rockford township,,65013
Winnebago County,Rockton township,,65169
Winnebago County,Winnebago township,,82504
Jo Daviess County,Apple River township,,01686
Jo Daviess County,Berreman township,,05495
Stephenson County,Dakota township,,18355
Stephenson County,Erin township,,24413
Will County,Florence township,,26519
Stephenson County,Florence township,,26506
Menard County,Fancy Prairie No. 3 precinct,,91242
Union County,Jonesboro District 2 precinct,,91782
Union County,Anna District 4 precinct,,90180
Jo Daviess County,Council Hill township,,16639
Jo Daviess County,Derinda township,,19551
Jo Daviess County,Dunleith township,,21202
Jo Daviess County,Elizabeth township,,23178
Jo Daviess County,Guilford township,,31979
Jo Daviess County,Hanover township,,32720
Cook County,Hanover township,,32694
Winnebago County,Harlem township,,32928
Stephenson County,Harlem township,,32902
Stephenson County,Jefferson township,,38284
Stephenson County,Kent township,,39610
Stephenson County,Oneco township,,56120
Stephenson County,Rock Grove township,,65065
Union County,Jonesboro District 3 precinct,,91792
Union County,Anna District 7 precinct,,90224
Stephenson County,Waddams township,,78318
Stephenson County,West Point township,,80788
Piatt County,Bement township,,05157
Wabash County,Friendsville precinct,,91314
Wabash County,Mount Carmel precinct,,92214
McLean County,Normal township,,53247
Macoupin County,Nilwood township,,53052
Wabash County,Wabash precinct,,93582
Wabash County,Compton precinct,,90810
Piatt County,Goose Creek township,,30523
Piatt County,Monticello township,,50257
Piatt County,Sangamon township,,67587
Piatt County,Willow Branch township,,81906
Henderson County,Carman township,,11280
Henderson County,Gladstone township,,29444
Henderson County,Lomax township,,44394
Richland County,Bonpas township,,07289
Richland County,Olney township,,55925
De Witt County,Santa Anna township,,67639
Henderson County,Media township,,48086
Henderson County,Oquawka township,,56250
Henderson County,Stronghurst township,,73274
Henry County,Lynn township,,45304
Knox County,Lynn township,,45330
Brown County,Ripley township,,64187
De Witt County,Barnett township,,03714
De Witt County,De Witt township,,19785
De Witt County,Rutledge township,,66469
Ogle County,Pine Creek township,,59897
Henderson County,Terre Haute township,,74730
Rock Island County,Edgington township,,22632
Henry County,Cambridge township,,10656
Madison County,Alhambra township,,00750
Madison County,Fort Russell township,,27130
Madison County,Hamel township,,32421
Madison County,Marine township,,46877
Madison County,New Douglas township,,52428
Lee County,Reynolds township,,63407
Madison County,Olive township,,55834
Madison County,Pin Oak township,,60014
Madison County,St. Jacob township,,66872
Madison County,Wood River township,,83284
McLean County,Bellflower township,,04910
McLean County,Dale township,,18381
McLean County,Downs township,,20656
Madison County,Leef township,,42652
Edgar County,Symmes township,,74288
Adams County,Burton township,,10019
McHenry County,Burton township,,10032
McHenry County,Coral township,,16314
McHenry County,Hartland township,,33305
Kane County,Aurora township,,03025
Kane County,St. Charles township,,66716
Winnebago County,Pecatonica township,,58421
Johnson County,Lake No. 1 precinct,,91840
Johnson County,Vienna No. 2 precinct,,93546
Johnson County,Lake No. 2 precinct,,91842
Kendall County,Big Grove township,,05872
Kendall County,Bristol township,,08368
Kendall County,Fox township,,27416
Jasper County,Fox township,,27390
Kendall County,Little Rock township,,44043
Scott County,Bloomfield precinct,,90468
Johnson County,Bloomfield precinct,,90450
Kendall County,Na-Au-Say township,,51531
Peoria County,West Peoria city,,80736
Kankakee County,Rockville township,,65195
Morgan County,South Jacksonville No. 1 precinct,,93206
Brown County,Buckhorn township,,09291
Brown County,Elkhorn township,,23308
Johnson County,Burnside precinct,,90558
Johnson County,Elvira precinct,,91188
Johnson County,Goreville No. 1 precinct,,91440
Johnson County,Grantsburg No. 1 precinct,,91512
Kankakee County,Pembroke township,,58538
Vermilion County,Pilot township,,59832
Kankakee County,Pilot township,,59819
Kankakee County,St. Anne township,,66651
Warren County,Sumner township,,73716
Kankakee County,Sumner township,,73690
Johnson County,Grantsburg No. 2 precinct,,91530
Johnson County,Ozark precinct,,92340
Fulton County,Kerton township,,39714
Brown County,Lee township,,42561
Fulton County,Lee township,,42574
Fulton County,Lewistown township,,43068
Johnson County,Simpson precinct,,93168
Johnson County,Vienna No. 1 precinct,,93528
Johnson County,Vienna No. 3 precinct,,93552
Fulton County,Liverpool township,,44134
McLean County,Allin township,,00893
McLean County,Anchor township,,01374
McLean County,Arrowsmith township,,02369
Kankakee County,Aroma township,,02245
Kankakee County,Bourbonnais township,,07484
Clay County,Harter township,,33266
Clay County,Hoosier township,,36087
Clay County,Larkinsburg township,,42158
Fulton County,Orion township,,56588
Fulton County,Pleasant township,,60430
Fulton County,Putman township,,62276
Morgan County,South Jacksonville No. 3 precinct,,93210
Morgan County,South Jacksonville No. 2 precinct,,93208
Effingham County,Union township,,76654
Cumberland County,Union township,,76641
Livingston County,Union township,,76680
Fulton County,Union township,,76667
Warren County,Coldbrook township,,15404
Warren County,Ellison township,,23516
Warren County,Floyd township,,26610
