County,Township,Label,COUSUBFP
Christian County,Assumption township,,02622
Hancock County,Bear Creek township,,04338
Christian County,Bear Creek township,,04325
Lake County,Lake Villa township,,41599
Christian County,Buckhart township,,09239
Christian County,Greenwood township,,31641
McHenry County,Greenwood township,,31680
Menard County,Athens North No. 2 precinct,,90256
Menard County,Athens South No. 1 precinct,,90262
Lake County,Libertyville township,,43263
Lake County,Newport township,,52753
Franklin County,Browning township,,08940
Schuyler County,Browning township,,08966
Clinton County,Wade township,,78344
Jasper County,Wade township,,78357
Clinton County,Wheatfield township,,80996
Clinton County,Germantown township,,29054
Clinton County,Looking Glass township,,44667
Greene County,Carrollton township,,11475
Greene County,Patterson township,,58096
Greene County,Woodville township,,83401
Edwards County,Dixon precinct,,90954
Edwards County,Shelby No. 1 precinct,,93153
Montgomery County,Hillsboro township,,35060
Montgomery County,Pitman township,,60183
Montgomery County,South Litchfield township,,70928
Montgomery County,Walshville township,,78669
Lake County,Benton township,,05326
Franklin County,Benton township,,05313
Lake County,Ela township,,22853
Clark County,Johnson township,,38505
Christian County,Johnson township,,38492
Christian County,Mosquito township,,50686
Christian County,Pana township,,57485
Christian County,Prairieton township,,61730
Christian County,Ricks township,,63797
Menard County,Atterberry No. 10 precinct,,90270
Logan County,Atlanta township,,02765
Logan County,Broadwell township,,08485
Bureau County,Arispie township,,02076
Bureau County,Berlin township,,05430
Bureau County,Bureau township,,09668
Bureau County,Clarion township,,14598
Montgomery County,Witt township,,82738
Montgomery County,Zanesville township,,84129
Montgomery County,Bois D'Arc township,,07107
Montgomery County,Irving township,,37751
Montgomery County,Rountree township,,66092
Pope County,Eddyville No. 6 precinct,,91116
Hamilton County,Beaver Creek township,,04481
Perry County,Du Quoin No. 3 precinct,,91012
Perry County,Du Quoin No. 4 precinct,,91013
Perry County,Du Quoin No. 5 precinct,,91014
Perry County,Du Quoin No. 6 precinct,,91015
Ford County,Drummer township,,20799
Logan County,Chester township,,13126
Logan County,Corwin township,,16496
Logan County,Eminence township,,24049
Logan County,Laenna township,,40624
Christian County,Rosamond township,,65598
Christian County,South Fork township,,70798
Christian County,Taylorville township,,74587
Christian County,King township,,39948
Menard County,Petersburg East No. 13 precinct,,92433
Menard County,Petersburg North No. 14 precinct,,92436
Woodford County,Cazenovia township,,11878
Bureau County,Concord township,,16028
Adams County,Concord township,,16015
Iroquois County,Concord township,,16041
Bureau County,Dover township,,20539
Bureau County,Greenville township,,31602
Menard County,Petersburg South No. 15 precinct,,92439
Menard County,Rock Creek No. 12 precinct,,93024
Madison County,Alton township,,01127
Madison County,Edwardsville township,,22710
Madison County,Granite City township,,30939
Madison County,Jarvis township,,38245
Pope County,Golconda No. 1 precinct,,91386
Pope County,Golconda No. 3 precinct,,91422
Pope County,Webster No. 5 precinct,,93654
Woodford County,Greene township,,31355
Mercer County,Greene township,,31342
Woodford County,Linn township,,43835
Woodford County,Metamora township,,48619
Woodford County,Minonk township,,49581
Woodford County,Montgomery township,,50231
Crawford County,Montgomery township,,50205
Woodford County,Olio township,,55821
Perry County,Pinckneyville No. 3 precinct,,92470
Perry County,Du Quoin No. 7 precinct,,91016
Hamilton County,McLeansboro township,,45837
Hamilton County,South Crouch township,,70655
Perry County,Du Quoin No. 9 precinct,,91018
Perry County,Du Quoin No. 10 precinct,,91019
Perry County,Du Quoin No. 11 precinct,,91020
Hancock County,Appanoose township,,01621
Edwards County,Albion No. 1 precinct,,90039
Edwards County,Albion No. 2 precinct,,90041
Edwards County,Albion No. 3 precinct,,90044
Logan County,Lake Fork township,,41144
Logan County,Mount Pulaski township,,51141
Logan County,Sheridan township,,69290
Bureau County,Indiantown township,,37413
Bureau County,La Moille township,,41807
Bureau County,Leepertown township,,42665
Bureau County,Milo township,,49438
Hancock County,Augusta township,,02999
Hancock County,Chili township,,14104
Perry County,Du Quoin No. 1 precinct,,91010
Perry County,Swanwick precinct,,93348
Perry County,Willisville precinct,,93762
Perry County,Du Quoin No. 12 precinct,,91021
Bureau County,Princeton township,,61912
Hamilton County,South Twigg township,,71305
Hamilton County,Twigg township,,76472
Perry County,Pinckneyville No. 1 precinct,,92468
Perry County,Pinckneyville No. 2 precinct,,92469
Kane County,Plato township,,60365
Kane County,Rutland township,,66430
La Salle County,Rutland township,,66456
Kane County,Sugar Grove township,,73404
Kane County,Virgil township,,78188
Bureau County,Mineral township,,49529
Bureau County,Neponset township,,52012
Bureau County,Ohio township,,55392
Bureau County,Selby township,,68562
Moultrie County,Dora township,,20344
Perry County,Pinckneyville No. 4 precinct,,92471
Perry County,Pinckneyville No. 5 precinct,,92472
Perry County,Pinckneyville No. 6 precinct,,92473
Perry County,Pinckneyville No. 7 precinct,,92474
Moultrie County,East Nelson township,,22099
Moultrie County,Jonathan Creek township,,38609
Bureau County,Walnut township,,78539
Bureau County,Westfield township,,80268
Clark County,Westfield township,,80294
Bureau County,Wheatland township,,81009
Will County,Wheatland township,,81035
Fayette County,Wheatland township,,81022
Bureau County,Wyanet township,,83635
Montgomery County,Audubon township,,02960
Clinton County,East Fork township,,21748
Montgomery County,East Fork township,,21761
Perry County,Tamaroa No. 2 precinct,,93386
Stephenson County,Ridott township,,64057
Henderson County,Biggsville township,,05911
Henderson County,Raritan township,,62861
Peoria County,Hallock township,,32304
Logan County,East Lincoln township,,21982
Logan County,Hurlbut township,,36789
Logan County,Oran township,,56289
Massac County,Georges Creek precinct,,91332
McHenry County,Algonquin township,,00698
McDonough County,Lamoine township,,41820
Effingham County,Mound township,,50725
McDonough County,Mound township,,50738
McDonough County,New Salem township,,52792
Pike County,New Salem township,,52818
