Label,State,County,Township,CountyFIPS
Current Clients,ILLINOIS,Cook County,Barrington,None
Current Clients,ILLINOIS,Cook County,Palatine,None
Current Clients,ILLINOIS,Cook County,Wheeling,None
Current Clients,ILLINOIS,Cook County,Northfield,None
Current Clients,ILLINOIS,Cook County,Hanover,None
Current Clients,ILLINOIS,Cook County,Schaumburg,None
Current Clients,ILLINOIS,DuPage County,Wayne,None
Current Clients,ILLINOIS,DuPage County,York,None
Current Clients,ILLINOIS,DuPage County,Downers Grove,None
Current Clients,ILLINOIS,Lake County,Shields,None
Current Clients,ILLINOIS,Lake County,Vernon,None
Current Clients,ILLINOIS,Kane County,Geneva,None
Current Clients,ILLINOIS,Ogle County,,None
Current Clients,ILLINOIS,Champaign County,,None
Current Clients,ILLINOIS,Peoria County,,None
Current Clients,ILLINOIS,McLean County,,None
In the Pipeline,ILLINOIS,Kane County,St Charles,None
In the Pipeline,ILLINOIS,Winnebago County,,None
In the Pipeline,ILLINOIS,Cook County,Elk Grove,None
In the Pipeline,ILLINOIS,Macon County,,None
In the Pipeline,ILLINOIS,Madison County,,None
In the Pipeline,ILLINOIS,DuPage County,Addison,None
In the Pipeline,ILLINOIS,Boone County,,None
In the Pipeline,ILLINOIS,LaSalle County,,None
In the Pipeline,ILLINOIS,Tazewell County,,None
In the Pipeline,ILLINOIS,Sangamon County,,None
In the Pipeline,ILLINOIS,Lake County,West Deerfield,None
In the Pipeline,ILLINOIS,Kane County,Dundee,None
In the Pipeline,ILLINOIS,Rock Island County,,None
In the Pipeline,ILLINOIS,McHenry County,Nunda,None
In the Pipeline,ILLINOIS,McHenry County,Algonquin,None
In the Pipeline,ILLINOIS,Cook County,Niles,None
In the Pipeline,ILLINOIS,DuPage County,Lisle,None
In the Pipeline,ILLINOIS,Will County,Troy,None
In the Pipeline,ILLINOIS,Kendall County,,None
In the Pipeline,ILLINOIS,Knox County,,None
In the Pipeline,ILLINOIS,Whiteside County,,None
In the Pipeline,ILLINOIS,DuPage County,Naperville,None
