COUSUBFP,NAMELSAD,Place Name,Label
93153,Shelby No. 1 precinct,Edwards County,
35060,Hillsboro township,Montgomery County,
60183,Pitman township,Montgomery County,
70928,South Litchfield township,Montgomery County,
78669,Walshville township,Montgomery County,
5326,Benton township,Lake County,
22853,Ela township,Lake County,
38492,Johnson township,Christian County,
50686,Mosquito township,Christian County,
57485,Pana township,Christian County,
61730,Prairieton township,Christian County,
63797,Ricks township,Christian County,
90270,Atterberry No. 10 precinct,Menard County,
2765,Atlanta township,Logan County,
8485,Broadwell township,Logan County,
2076,Arispie township,Bureau County,
5430,Berlin township,Bureau County,
9668,Bureau township,Bureau County,
14598,Clarion township,Bureau County,
82738,Witt township,Montgomery County,
84129,Zanesville township,Montgomery County,
7107,Bois D'Arc township,Montgomery County,
37751,Irving township,Montgomery County,
66092,Rountree township,Montgomery County,
91116,Eddyville No. 6 precinct,Pope County,
4481,Beaver Creek township,Hamilton County,
91012,Du Quoin No. 3 precinct,Perry County,
91013,Du Quoin No. 4 precinct,Perry County,
91014,Du Quoin No. 5 precinct,Perry County,
91015,Du Quoin No. 6 precinct,Perry County,
20799,Drummer township,Ford County,
13126,Chester township,Logan County,
16496,Corwin township,Logan County,
24049,Eminence township,Logan County,
40624,Laenna township,Logan County,
65598,Rosamond township,Christian County,
70798,South Fork township,Christian County,
74587,Taylorville township,Christian County,
39948,King township,Christian County,
92433,Petersburg East No. 13 precinct,Menard County,
92436,Petersburg North No. 14 precinct,Menard County,
11878,Cazenovia township,Woodford County,
16028,Concord township,Bureau County,
20539,Dover township,Bureau County,
31602,Greenville township,Bureau County,
92439,Petersburg South No. 15 precinct,Menard County,
93024,Rock Creek No. 12 precinct,Menard County,
1127,Alton township,Madison County,In the Pipeline
22710,Edwardsville township,Madison County,In the Pipeline
30939,Granite City township,Madison County,In the Pipeline
38245,Jarvis township,Madison County,In the Pipeline
91386,Golconda No. 1 precinct,Pope County,
91422,Golconda No. 3 precinct,Pope County,
93654,Webster No. 5 precinct,Pope County,
31355,Greene township,Woodford County,
43835,Linn township,Woodford County,
48619,Metamora township,Woodford County,
49581,Minonk township,Woodford County,
50231,Montgomery township,Woodford County,
55821,Olio township,Woodford County,
92470,Pinckneyville No. 3 precinct,Perry County,
91016,Du Quoin No. 7 precinct,Perry County,
45837,McLeansboro township,Hamilton County,
70655,South Crouch township,Hamilton County,
91018,Du Quoin No. 9 precinct,Perry County,
91019,Du Quoin No. 10 precinct,Perry County,
91020,Du Quoin No. 11 precinct,Perry County,
1621,Appanoose township,Hancock County,
90039,Albion No. 1 precinct,Edwards County,
90041,Albion No. 2 precinct,Edwards County,
90044,Albion No. 3 precinct,Edwards County,
41144,Lake Fork township,Logan County,
51141,Mount Pulaski township,Logan County,
69290,Sheridan township,Logan County,
37413,Indiantown township,Bureau County,
41807,La Moille township,Bureau County,
42665,Leepertown township,Bureau County,
49438,Milo township,Bureau County,
2999,Augusta township,Hancock County,
14104,Chili township,Hancock County,
91010,Du Quoin No. 1 precinct,Perry County,
93348,Swanwick precinct,Perry County,
93762,Willisville precinct,Perry County,
91021,Du Quoin No. 12 precinct,Perry County,
61912,Princeton township,Bureau County,
71305,South Twigg township,Hamilton County,
76472,Twigg township,Hamilton County,
92468,Pinckneyville No. 1 precinct,Perry County,
92469,Pinckneyville No. 2 precinct,Perry County,
60365,Plato township,Kane County,
66430,Rutland township,Kane County,
73404,Sugar Grove township,Kane County,
78188,Virgil township,Kane County,
49529,Mineral township,Bureau County,
52012,Neponset township,Bureau County,
55392,Ohio township,Bureau County,
68562,Selby township,Bureau County,
20344,Dora township,Moultrie County,
92471,Pinckneyville No. 4 precinct,Perry County,
92472,Pinckneyville No. 5 precinct,Perry County,
92473,Pinckneyville No. 6 precinct,Perry County,
92474,Pinckneyville No. 7 precinct,Perry County,
22099,East Nelson township,Moultrie County,
38609,Jonathan Creek township,Moultrie County,
78539,Walnut township,Bureau County,
80268,Westfield township,Bureau County,
81009,Wheatland township,Bureau County,
83635,Wyanet township,Bureau County,
2960,Audubon township,Montgomery County,
21761,East Fork township,Montgomery County,
93386,Tamaroa No. 2 precinct,Perry County,
64057,Ridott township,Stephenson County,
5911,Biggsville township,Henderson County,
62861,Raritan township,Henderson County,
32304,Hallock township,Peoria County,Current Clients
21982,East Lincoln township,Logan County,
36789,Hurlbut township,Logan County,
56289,Oran township,Logan County,
91332,Georges Creek precinct,Massac County,
698,Algonquin township,McHenry County,In the Pipeline
41820,Lamoine township,McDonough County,
50738,Mound township,McDonough County,
52792,New Salem township,McDonough County,
2791,Atlas township,Pike County,
3974,Barry township,Pike County,
61561,Prairie City township,McDonough County,
12359,Chambersburg township,Pike County,
68211,Sciota township,McDonough County,
74678,Tennessee township,McDonough County,
78409,Waldo township,Livingston County,
92196,Mounds precinct,Pulaski County,
78591,Walnut Grove township,McDonough County,
6743,Blue Mound township,McLean County,Current Clients
12944,Chenoa township,McLean County,
14390,Cincinnati township,Pike County,
19577,Derry township,Pike County,
19694,Detroit township,Pike County,
24972,Fairmount township,Pike County,
31784,Griggsville township,Pike County,
32070,Hadley township,Pike County,
17705,Cropsey township,McLean County,Current Clients
18550,Danvers township,McLean County,Current Clients
18732,Dawson township,McLean County,Current Clients
51297,Mulberry Grove township,Bond County,
69641,Shoal Creek township,Bond County,
43952,Lisle township,DuPage County,In the Pipeline
49451,Milton township,DuPage County,
53806,North Henderson township,Mercer County,
79410,Wayne township,DuPage County,Current Clients
83947,York township,DuPage County,Current Clients
3558,Banner township,Effingham County,
79891,West township,Effingham County,
40572,Lacon township,Marshall County,
91404,Golconda No. 2 precinct,Pope County,
91746,Jefferson No. 4 precinct,Pope County,
21735,Eastern township,Franklin County,
30406,Goode township,Franklin County,
53637,Northern township,Franklin County,
90540,Browns precinct,Edwards County,
91296,French Creek precinct,Edwards County,
93081,Salem No. 1 precinct,Edwards County,
20838,Dry Grove township,McLean County,Current Clients
28209,Funks Grove township,McLean County,Current Clients
32863,Hardin township,Pike County,
39935,Kinderhook township,Pike County,
52259,Newburg township,Pike County,
52818,New Salem township,Pike County,
58356,Pearl township,Pike County,
59169,Perry township,Pike County,
74535,Taylor township,Ogle County,Current Clients
14637,Clarksburg township,Shelby County,
58590,Penn township,Shelby County,
75588,Todds Point township,Shelby County,
31745,Gridley township,McLean County,Current Clients
42353,Lawndale township,McLean County,Current Clients
43107,Lexington township,McLean County,Current Clients
30887,Grandville township,Jasper County,
31888,Grove township,Jasper County,
36659,Hunt City township,Jasper County,
64668,Roberts township,Marshall County,
54001,North Muddy township,Jasper County,
66803,Ste. Marie township,Jasper County,
21241,Du Page township,Will County,
46370,Manhattan township,Will County,
5742,Beverly township,Adams County,
10019,Burton township,Adams County,
93366,Tallula No. 11 precinct,Menard County,
14546,Claremont township,Richland County,
18862,Decker township,Richland County,
19486,Denver township,Richland County,
53156,Noble township,Richland County,
10890,Camp Point township,Adams County,
38999,Kansas township,Edgar County,
26415,Flint township,Pike County,
53117,Nixon township,De Witt County,
79462,Waynesville township,De Witt County,
20968,Duncan township,Mercer County,
47215,Martin township,McLean County,Current Clients
49971,Money Creek township,McLean County,Current Clients
50972,Mount Hope township,McLean County,Current Clients
55782,Old Town township,McLean County,Current Clients
71084,South Muddy township,Jasper County,
78357,Wade township,Jasper County,
39311,Keithsburg township,Mercer County,
82023,Willow Hill township,Jasper County,
2427,Asbury township,Gallatin County,
52519,New Haven township,Gallatin County,
9395,Buena Vista township,Schuyler County,
83362,Woodstock township,Schuyler County,
15859,Columbus township,Adams County,
16015,Concord township,Adams County,
76888,Unity township,Piatt County,
31030,Granville township,Putnam County,
34124,Hennepin township,Putnam County,
25258,Fall Creek township,Adams County,
35957,Honey Creek township,Adams County,
62692,Randolph township,McLean County,Current Clients
75835,Towanda township,McLean County,Current Clients
79904,West township,McLean County,Current Clients
81321,White Oak township,McLean County,Current Clients
83804,Yates township,McLean County,
1439,Andalusia township,Rock Island County,In the Pipeline
6301,Blackhawk township,Rock Island County,In the Pipeline
7549,Bowling township,Rock Island County,In the Pipeline
9512,Buffalo Prairie township,Rock Island County,In the Pipeline
68601,Seminary township,Fayette County,
70876,South Hurricane township,Fayette County,
77330,Vandalia township,Fayette County,
3155,Avena township,Fayette County,
4377,Bear Grove township,Fayette County,
11501,Carson township,Fayette County,
44901,Loudon township,Fayette County,
61106,Pope township,Fayette County,
10955,Canoe Creek township,Rock Island County,In the Pipeline
15326,Coe township,Rock Island County,In the Pipeline
16379,Cordova township,Rock Island County,In the Pipeline
20825,Drury township,Rock Island County,In the Pipeline
49880,Moline township,Rock Island County,In the Pipeline
61236,Port Byron township,Rock Island County,In the Pipeline
65091,Rock Island township,Rock Island County,
9694,Burgess township,Bond County,
12112,Central township,Bond County,
45252,Lyman township,Ford County,
6561,Bloom township,Cook County,
14000,Chicago city,Cook County,
23243,Elk Grove township,Cook County,In the Pipeline
43120,Leyden township,Cook County,
46162,Maine township,Cook County,In the Pipeline
63498,Rich township,Cook County,
64317,River Forest township,Cook County,
72689,Stickney township,Cook County,
83531,Worth township,Cook County,
66300,Rural township,Rock Island County,In the Pipeline
70993,South Moline township,Rock Island County,In the Pipeline
71201,South Rock Island township,Rock Island County,In the Pipeline
46123,Magnolia township,Putnam County,
607,Alden township,McHenry County,
68627,Senachwine township,Putnam County,
17809,Crouch township,Hamilton County,
18316,Dahlgren township,Hamilton County,
26324,Flannigan township,Hamilton County,
47657,Mayberry township,Hamilton County,
70785,South Flannigan township,Hamilton County,
36295,Houston township,Adams County,
32577,Hampton township,Rock Island County,In the Pipeline
84246,Zuma township,Rock Island County,In the Pipeline
91716,Jacksonville No. 6 precinct,Morgan County,
91717,Jacksonville No. 7 precinct,Morgan County,
91718,Jacksonville No. 8 precinct,Morgan County,
91719,Jacksonville No. 9 precinct,Morgan County,
91721,Jacksonville No. 11 precinct,Morgan County,
91722,Jacksonville No. 12 precinct,Morgan County,
39220,Keene township,Adams County,
11540,Carthage township,Hancock County,
32993,Harmony township,Hancock County,
50140,Montebello township,Hancock County,
78955,Warsaw township,Hancock County,
27325,Fountain Green township,Hancock County,
49321,Mills township,Bond County,
60586,Pleasant Mound township,Bond County,
9902,Burnt Prairie township,White County,
31069,Gray township,White County,
37231,Indian Creek township,White County,
59507,Phillips township,White County,
14260,Chouteau township,Madison County,In the Pipeline
15612,Collinsville township,Madison County,In the Pipeline
27182,Foster township,Madison County,In the Pipeline
50465,Moro township,Madison County,In the Pipeline
51583,Nameoki township,Madison County,In the Pipeline
56068,Omphghent township,Madison County,In the Pipeline
67275,Saline township,Madison County,In the Pipeline
77486,Venice township,Madison County,In the Pipeline
91926,Literberry precinct,Morgan County,
91740,Jefferson precinct,Massac County,
43146,Liberty township,Adams County,
48203,Melrose township,Adams County,
